------ SIMULAZIONE DEL 23/02/2026 ALLE ORE 23:38 ------
=== PARAMETRI DI SIMULAZIONE ===
Arricchimento: 0.05
RAGGGIO CORE: 40.0 cm
REFLECTOR SIDE: 10.0 cm
REFLECTOR BOTTOM: 15.0 cm
H_CORE: 80.0 cm
mix acqua: 0.15
R_PIPE (Soglia): 5 cm
Geometria PIN (R_FUEL, CLAD, R_WATER): 0.5, 0.05, 1.5 cm
PITCH: 3.55070 cm
Target (R, H, Pos): 2, 10.0, 40.0 cm
Settings: 250 batches, 10000 particles, 20 inactive batches
================================

T_WATER [K]  T_FUEL [K]   K_EFF        STD_DEV     
300          300          0.98570      0.00074     
300          350          0.98510      0.00070     
300          400          0.98456      0.00065     
300          450          0.98309      0.00067     
300          500          0.98323      0.00070     
300          550          0.98115      0.00069     
300          600          0.98075      0.00064     
300          650          0.97902      0.00066     
300          700          0.98042      0.00067     
300          750          0.97867      0.00067     
300          800          0.97989      0.00067     
300          850          0.97857      0.00069     
300          900          0.97675      0.00068     
300          950          0.97534      0.00069     
300          1000         0.97634      0.00068     
300          1050         0.97511      0.00069     
300          1100         0.97459      0.00065     
300          1150         0.97401      0.00067     
300          1200         0.97451      0.00066     
300          1250         0.97315      0.00075     
300          1300         0.97298      0.00070     
300          1350         0.97240      0.00065     
300          1400         0.97209      0.00063     
300          1450         0.97293      0.00067     
350          300          0.98244      0.00066     
350          350          0.98204      0.00069     
350          400          0.97957      0.00059     
350          450          0.97917      0.00064     
350          500          0.97917      0.00066     
350          550          0.97703      0.00062     
350          600          0.97592      0.00070     
350          650          0.97741      0.00069     
350          700          0.97755      0.00066     
350          750          0.97424      0.00066     
350          800          0.97419      0.00063     
350          850          0.97364      0.00070     
350          900          0.97237      0.00064     
350          950          0.97270      0.00070     
350          1000         0.97128      0.00065     
350          1050         0.97163      0.00069     
350          1100         0.97034      0.00071     
350          1150         0.97135      0.00066     
350          1200         0.97025      0.00066     
350          1250         0.96931      0.00068     
350          1300         0.96784      0.00069     
350          1350         0.96704      0.00067     
350          1400         0.96849      0.00073     
350          1450         0.96724      0.00064     
400          300          0.97811      0.00066     
