------ SIMULAZIONE DEL 24/02/2026 ALLE ORE 20:32 ------
=== PARAMETRI DI SIMULAZIONE ===
Arricchimento: 0.05
RAGGGIO CORE: 40.0 cm
REFLECTOR SIDE: 10.0 cm
REFLECTOR BOTTOM: 15.0 cm
H_CORE: 80.0 cm
mix acqua: 0.15
R_PIPE (Soglia): 5 cm
Geometria PIN (R_FUEL, CLAD, R_WATER): 0.5, 0.05, 1.5 cm
PITCH: 3.55070 cm
Target (R, H, Pos): 2, 10.0, 40.0 cm
Settings: 350 batches, 10000 particles, 50 inactive batches
================================

T_WATER [K]  T_FUEL [K]   K_EFF        STD_DEV     
300          300          0.98672      0.00061     
300          350          0.98595      0.00060     
300          400          0.98599      0.00060     
300          450          0.98476      0.00059     
300          500          0.98410      0.00060     
300          550          0.98299      0.00059     
300          600          0.98263      0.00058     
300          650          0.98149      0.00061     
300          700          0.98083      0.00062     
300          750          0.98036      0.00056     
300          800          0.97936      0.00059     
300          850          0.97965      0.00059     
300          900          0.97837      0.00060     
300          950          0.97812      0.00061     
300          1000         0.97760      0.00057     
300          1050         0.97687      0.00057     
300          1100         0.97684      0.00059     
300          1150         0.97531      0.00060     
300          1200         0.97537      0.00058     
300          1250         0.97380      0.00060     
300          1300         0.97401      0.00059     
300          1350         0.97440      0.00058     
300          1400         0.97232      0.00059     
300          1450         0.97272      0.00059     
300          1500         0.97225      0.00057     
350          300          0.96950      0.00058     
350          350          0.96751      0.00063     
350          400          0.96711      0.00054     
350          450          0.96586      0.00056     
350          500          0.96514      0.00062     
350          550          0.96383      0.00061     
350          600          0.96449      0.00061     
350          650          0.96365      0.00054     
350          700          0.96163      0.00058     
350          750          0.96152      0.00058     
350          800          0.96007      0.00055     
350          850          0.96063      0.00057     
350          900          0.95987      0.00060     
350          950          0.95941      0.00060     
350          1000         0.95801      0.00062     
350          1050         0.95747      0.00055     
350          1100         0.95835      0.00059     
350          1150         0.95730      0.00061     
350          1200         0.95614      0.00060     
350          1250         0.95581      0.00054     
350          1300         0.95512      0.00054     
350          1350         0.95569      0.00057     
350          1400         0.95462      0.00058     
350          1450         0.95438      0.00058     
350          1500         0.95374      0.00058     
400          300          0.93987      0.00056     
400          350          0.94073      0.00057     
400          400          0.93911      0.00054     
400          450          0.93756      0.00056     
400          500          0.93734      0.00054     
400          550          0.93618      0.00058     
400          600          0.93653      0.00062     
400          650          0.93516      0.00055     
400          700          0.93432      0.00058     
400          750          0.93509      0.00055     
400          800          0.93406      0.00061     
400          850          0.93303      0.00059     
400          900          0.93129      0.00063     
400          950          0.93134      0.00055     
400          1000         0.93131      0.00051     
400          1050         0.93034      0.00058     
400          1100         0.92984      0.00055     
400          1150         0.92927      0.00062     
400          1200         0.92908      0.00063     
400          1250         0.92828      0.00063     
400          1300         0.92832      0.00061     
400          1350         0.92837      0.00056     
400          1400         0.92671      0.00059     
400          1450         0.92688      0.00057     
400          1500         0.92670      0.00059     
450          300          0.90622      0.00059     
450          350          0.90487      0.00055     
450          400          0.90386      0.00059     
450          450          0.90398      0.00064     
450          500          0.90189      0.00056     
450          550          0.90179      0.00057     
450          600          0.90103      0.00056     
450          650          0.90026      0.00059     
450          700          0.89859      0.00057     
450          750          0.89891      0.00053     
450          800          0.89715      0.00062     
450          850          0.89780      0.00058     
450          900          0.89728      0.00063     
450          950          0.89687      0.00052     
450          1000         0.89487      0.00058     
450          1050         0.89407      0.00053     
450          1100         0.89538      0.00053     
450          1150         0.89385      0.00060     
450          1200         0.89388      0.00057     
450          1250         0.89173      0.00059     
450          1300         0.89323      0.00056     
450          1350         0.89236      0.00058     
450          1400         0.89166      0.00056     
450          1450         0.89116      0.00059     
450          1500         0.89075      0.00062     
500          300          0.85988      0.00061     
500          350          0.85927      0.00057     
500          400          0.85966      0.00061     
500          450          0.85797      0.00056     
500          500          0.85823      0.00055     
500          550          0.85637      0.00058     
500          600          0.85524      0.00061     
500          650          0.85521      0.00056     
500          700          0.85400      0.00060     
500          750          0.85347      0.00057     
500          800          0.85364      0.00058     
500          850          0.85356      0.00059     
500          900          0.85201      0.00057     
500          950          0.85200      0.00054     
500          1000         0.85107      0.00058     
500          1050         0.85030      0.00061     
500          1100         0.84919      0.00057     
500          1150         0.84745      0.00055     
500          1200         0.84848      0.00061     
500          1250         0.84765      0.00055     
500          1300         0.84741      0.00059     
500          1350         0.84742      0.00056     
500          1400         0.84606      0.00057     
500          1450         0.84561      0.00057     
500          1500         0.84547      0.00061     
550          300          0.79914      0.00056     
550          350          0.79857      0.00057     
550          400          0.79762      0.00057     
550          450          0.79681      0.00052     
550          500          0.79435      0.00053     
550          550          0.79539      0.00058     
550          600          0.79400      0.00059     
550          650          0.79429      0.00060     
550          700          0.79385      0.00057     
550          750          0.79409      0.00053     
550          800          0.79226      0.00055     
550          850          0.79144      0.00053     
550          900          0.79086      0.00060     
550          950          0.79029      0.00054     
550          1000         0.78942      0.00053     
550          1050         0.78949      0.00056     
550          1100         0.78872      0.00054     
550          1150         0.78730      0.00058     
550          1200         0.78756      0.00053     
550          1250         0.78657      0.00058     
550          1300         0.78645      0.00057     
550          1350         0.78583      0.00061     
550          1400         0.78635      0.00055     
550          1450         0.78627      0.00058     
550          1500         0.78576      0.00054     
600          300          0.70520      0.00057     
600          350          0.70481      0.00056     
600          400          0.70368      0.00055     
600          450          0.70277      0.00056     
600          500          0.70166      0.00055     
600          550          0.70135      0.00055     
600          600          0.70020      0.00055     
600          650          0.70119      0.00052     
600          700          0.69993      0.00050     
600          750          0.69923      0.00054     
600          800          0.69856      0.00057     
600          850          0.69710      0.00054     
600          900          0.69785      0.00051     
600          950          0.69653      0.00053     
600          1000         0.69633      0.00050     
600          1050         0.69581      0.00051     
600          1100         0.69475      0.00050     
600          1150         0.69462      0.00056     
600          1200         0.69432      0.00052     
600          1250         0.69354      0.00055     
600          1300         0.69304      0.00054     
600          1350         0.69358      0.00053     
600          1400         0.69340      0.00050     
600          1450         0.69186      0.00055     
600          1500         0.69170      0.00053     
