

------ SIMULAZIONE DEL 24/02/2026 ALLE ORE 09:03 ------
=== PARAMETRI DI SIMULAZIONE ===
Arricchimento: 0.05
RAGGGIO CORE: 40.0 cm
REFLECTOR SIDE: 10.0 cm
REFLECTOR BOTTOM: 15.0 cm
H_CORE: 80.0 cm
mix acqua: 0.15
R_PIPE (Soglia): 5 cm
Geometria PIN (R_FUEL, CLAD, R_WATER): 0.5, 0.05, 1.5 cm
PITCH: 3.55070 cm
Target (R, H, Pos): 2, 10.0, 40.0 cm
Settings: 50 batches, 10000 particles, 2 inactive batches
================================

T_WATER [K]  T_FUEL [K]   K_EFF        STD_DEV     
300          300          0.98370      0.00175     
300          350          0.98517      0.00135     
300          400          0.98429      0.00140     
300          450          0.98472      0.00163     
300          500          0.98291      0.00194     
300          550          0.98011      0.00181     
300          600          0.97832      0.00156     
300          650          0.97929      0.00165     
300          700          0.97915      0.00193     
300          750          0.97980      0.00149     
300          800          0.97868      0.00181     
300          850          0.97681      0.00175     
300          900          0.97774      0.00163     
300          950          0.97613      0.00156     
300          1000         0.97372      0.00169     
300          1050         0.97547      0.00177     
300          1100         0.97489      0.00134     
300          1150         0.97325      0.00174     
300          1200         0.97391      0.00179     
300          1250         0.97356      0.00175     
300          1300         0.97209      0.00142     
300          1350         0.97271      0.00161     
300          1400         0.97198      0.00159     
300          1450         0.97234      0.00186     
300          1500         0.97211      0.00187     
350          300          0.96700      0.00169     
350          350          0.96331      0.00161     
350          400          0.96238      0.00161     
350          450          0.96645      0.00160     
350          500          0.96254      0.00158     
350          550          0.96040      0.00175     
350          600          0.96002      0.00147     
350          650          0.96123      0.00177     
350          700          0.96162      0.00156     
350          750          0.95865      0.00158     
350          800          0.95760      0.00155     
350          850          0.95786      0.00166     
350          900          0.95920      0.00146     
350          950          0.95802      0.00177     
350          1000         0.95679      0.00171     
350          1050         0.95241      0.00175     
350          1100         0.95646      0.00139     
350          1150         0.95694      0.00176     
350          1200         0.95328      0.00154     
350          1250         0.95277      0.00142     
350          1300         0.95675      0.00150     
350          1350         0.95349      0.00151     
350          1400         0.95145      0.00203     
350          1450         0.95045      0.00151     
350          1500         0.95186      0.00129     
400          300          0.94153      0.00144     
400          350          0.93746      0.00133     
400          400          0.93638      0.00180     
400          450          0.93549      0.00136     
400          500          0.93553      0.00145     
400          550          0.93602      0.00151     
400          600          0.93295      0.00178     
400          650          0.93118      0.00135     
400          700          0.93538      0.00133     
400          750          0.93077      0.00166     
400          800          0.92993      0.00169     
400          850          0.92750      0.00156     
400          900          0.93185      0.00176     
400          950          0.92999      0.00188     
400          1000         0.92980      0.00133     
400          1050         0.92790      0.00148     
400          1100         0.92885      0.00138     
400          1150         0.92460      0.00147     
400          1200         0.92898      0.00149     
400          1250         0.92510      0.00150     
400          1300         0.92505      0.00154     
400          1350         0.92473      0.00135     
400          1400         0.92487      0.00132     
400          1450         0.92465      0.00133     
400          1500         0.92622      0.00132     
450          300          0.90092      0.00138     
450          350          0.90209      0.00144     
450          400          0.90155      0.00155     
450          450          0.90030      0.00161     
450          500          0.90000      0.00145     
450          550          0.89714      0.00155     
450          600          0.89857      0.00124     
450          650          0.89918      0.00149     
450          700          0.89975      0.00111     
450          750          0.89640      0.00174     
450          800          0.89478      0.00145     
450          850          0.89955      0.00118     
450          900          0.89583      0.00133     
450          950          0.89542      0.00146     
450          1000         0.89311      0.00155     
450          1050         0.89112      0.00161     
450          1100         0.89182      0.00152     
450          1150         0.89176      0.00115     
450          1200         0.89184      0.00136     
450          1250         0.89070      0.00174     
450          1300         0.89021      0.00148     
450          1350         0.89166      0.00168     
450          1400         0.88931      0.00135     
450          1450         0.88855      0.00181     
450          1500         0.89205      0.00151     
500          300          0.85721      0.00179     
500          350          0.85842      0.00139     
500          400          0.85576      0.00137     
500          450          0.85645      0.00159     
500          500          0.85440      0.00167     
500          550          0.85480      0.00128     
500          600          0.85489      0.00128     
500          650          0.85310      0.00184     
500          700          0.85387      0.00147     
500          750          0.85412      0.00142     
500          800          0.85163      0.00149     
500          850          0.85061      0.00171     
500          900          0.85023      0.00168     
500          950          0.85088      0.00152     
500          1000         0.84816      0.00146     
500          1050         0.84972      0.00124     
500          1100         0.84793      0.00156     
500          1150         0.84658      0.00175     
500          1200         0.85164      0.00130     
500          1250         0.84541      0.00155     
500          1300         0.84659      0.00149     
500          1350         0.84501      0.00156     
500          1400         0.84329      0.00158     
500          1450         0.84249      0.00138     
500          1500         0.84159      0.00149     
550          300          0.79638      0.00152     
550          350          0.79873      0.00118     
550          400          0.79621      0.00147     
550          450          0.79494      0.00195     
550          500          0.79648      0.00153     
550          550          0.79206      0.00165     
550          600          0.79442      0.00128     
550          650          0.79517      0.00126     
550          700          0.79162      0.00169     
550          750          0.79058      0.00137     
550          800          0.79116      0.00119     
550          850          0.79017      0.00148     
550          900          0.79067      0.00135     
550          950          0.78927      0.00148     
550          1000         0.79011      0.00131     
550          1050         0.78808      0.00125     
550          1100         0.78623      0.00134     
550          1150         0.78525      0.00146     
550          1200         0.78527      0.00162     
550          1250         0.78762      0.00149     
550          1300         0.78277      0.00109     
550          1350         0.78311      0.00146     
550          1400         0.78400      0.00123     
550          1450         0.78504      0.00119     
550          1500         0.78215      0.00147     
600          300          0.70548      0.00126     
600          350          0.70174      0.00141     
600          400          0.70319      0.00161     
600          450          0.70160      0.00127     
600          500          0.70138      0.00160     
600          550          0.69909      0.00145     
600          600          0.69976      0.00134     
600          650          0.69949      0.00134     
600          700          0.69813      0.00137     
600          750          0.69885      0.00153     
600          800          0.69788      0.00124     
600          850          0.69679      0.00141     
600          900          0.69685      0.00149     
600          950          0.69639      0.00141     
600          1000         0.69663      0.00155     
600          1050         0.69419      0.00149     
600          1100         0.69248      0.00141     
600          1150         0.69167      0.00117     
600          1200         0.69190      0.00133     
600          1250         0.69197      0.00161     
600          1300         0.69364      0.00127     
600          1350         0.69114      0.00125     
600          1400         0.68965      0.00144     
600          1450         0.68998      0.00137     
600          1500         0.69151      0.00146     
