

------ SIMULAZIONE DEL 27/02/2026 ALLE ORE 09:48 ------
=== PARAMETRI DI SIMULAZIONE ===
Arricchimento: 0.05
RAGGGIO CORE: 40.0 cm
REFLECTOR SIDE: 10.0 cm
REFLECTOR BOTTOM: 15.0 cm
H_CORE: 80.0 cm
mix acqua: 0.15
R_PIPE (Soglia): 5 cm
Geometria PIN (R_FUEL, CLAD, R_WATER): 0.5, 0.05, 1.5 cm
PITCH: 3.55070 cm
Target (R, H, Pos): 2, 10.0, 40.0 cm
Settings: 150 batches, 10000 particles, 50 inactive batches
================================

T_WATER [K]  T_FUEL [K]   K_EFF        STD_DEV     
300          300          0.98437      0.00118     
300          350          0.98298      0.00097     
300          400          0.98405      0.00090     
300          450          0.98394      0.00112     
300          500          0.97954      0.00091     
300          550          0.98000      0.00105     
300          600          0.98055      0.00110     
300          650          0.97881      0.00102     
300          700          0.97892      0.00092     
300          750          0.97684      0.00111     
300          800          0.97804      0.00109     
300          850          0.97616      0.00104     
300          900          0.97606      0.00107     
300          950          0.97540      0.00101     
300          1000         0.97287      0.00088     
300          1050         0.97241      0.00093     
300          1100         0.97400      0.00102     
300          1150         0.97454      0.00094     
300          1200         0.97182      0.00105     
300          1250         0.97390      0.00100     
300          1300         0.97058      0.00102     
300          1350         0.97089      0.00109     
300          1400         0.97091      0.00099     
300          1450         0.97018      0.00103     
300          1500         0.96936      0.00112     
350          300          0.96716      0.00107     
350          350          0.96675      0.00105     
350          400          0.96559      0.00112     
350          450          0.96520      0.00094     
350          500          0.96557      0.00092     
350          550          0.96262      0.00106     
350          600          0.96313      0.00098     
350          650          0.96235      0.00085     
350          700          0.96199      0.00119     
350          750          0.96137      0.00100     
350          800          0.96192      0.00099     
350          850          0.96055      0.00093     
350          900          0.95897      0.00088     
350          950          0.95560      0.00098     
350          1000         0.95888      0.00111     
350          1050         0.95676      0.00098     
350          1100         0.95813      0.00109     
350          1150         0.95416      0.00090     
350          1200         0.95669      0.00091     
350          1250         0.95721      0.00108     
350          1300         0.95508      0.00096     
350          1350         0.95408      0.00102     
350          1400         0.95387      0.00110     
350          1450         0.95283      0.00111     
350          1500         0.95355      0.00104     
400          300          0.94114      0.00106     
400          350          0.94065      0.00099     
400          400          0.93907      0.00103     
400          450          0.93711      0.00096     
400          500          0.93827      0.00117     
400          550          0.93728      0.00098     
400          600          0.93766      0.00113     
400          650          0.93621      0.00107     
400          700          0.93414      0.00097     
400          750          0.93410      0.00105     
400          800          0.93474      0.00113     
400          850          0.93481      0.00102     
400          900          0.93239      0.00095     
400          950          0.93236      0.00108     
400          1000         0.93297      0.00101     
400          1050         0.93271      0.00095     
400          1100         0.92934      0.00104     
400          1150         0.93261      0.00111     
400          1200         0.93063      0.00109     
400          1250         0.92984      0.00102     
400          1300         0.92738      0.00108     
400          1350         0.92803      0.00102     
400          1400         0.92670      0.00098     
400          1450         0.92791      0.00089     
400          1500         0.92547      0.00099     
450          300          0.90645      0.00105     
450          350          0.90749      0.00100     
450          400          0.90429      0.00118     
450          450          0.90535      0.00092     
450          500          0.90367      0.00114     
450          550          0.90347      0.00112     
450          600          0.90417      0.00102     
450          650          0.90337      0.00091     
450          700          0.90188      0.00087     
450          750          0.90207      0.00095     
450          800          0.89840      0.00100     
450          850          0.89740      0.00110     
450          900          0.89790      0.00102     
450          950          0.89917      0.00099     
450          1000         0.89860      0.00106     
450          1050         0.89600      0.00097     
450          1100         0.89718      0.00103     
450          1150         0.89607      0.00113     
450          1200         0.89365      0.00108     
450          1250         0.89496      0.00105     
450          1300         0.89249      0.00100     
450          1350         0.89340      0.00097     
450          1400         0.89246      0.00094     
450          1450         0.89203      0.00091     
450          1500         0.89266      0.00098     
500          300          0.86506      0.00110     
500          350          0.86395      0.00096     
500          400          0.86213      0.00105     
500          450          0.86095      0.00115     
500          500          0.85868      0.00080     
500          550          0.85984      0.00108     
500          600          0.85926      0.00098     
500          650          0.85776      0.00095     
500          700          0.85576      0.00098     
500          750          0.85675      0.00101     
500          800          0.85745      0.00104     
500          850          0.85433      0.00102     
500          900          0.85444      0.00103     
500          950          0.85416      0.00094     
500          1000         0.85369      0.00107     
500          1050         0.84937      0.00116     
500          1100         0.85187      0.00111     
500          1150         0.85337      0.00101     
500          1200         0.85255      0.00106     
500          1250         0.85093      0.00104     
500          1300         0.85046      0.00092     
500          1350         0.85092      0.00107     
500          1400         0.85059      0.00097     
500          1450         0.84942      0.00095     
500          1500         0.84777      0.00104     
550          300          0.80307      0.00102     
550          350          0.80246      0.00099     
550          400          0.80309      0.00096     
550          450          0.80358      0.00088     
550          500          0.80011      0.00098     
550          550          0.79866      0.00094     
550          600          0.79854      0.00098     
550          650          0.79785      0.00098     
550          700          0.79670      0.00103     
550          750          0.79703      0.00098     
550          800          0.79718      0.00091     
550          850          0.79400      0.00100     
550          900          0.79466      0.00095     
550          950          0.79600      0.00094     
550          1000         0.79280      0.00089     
550          1050         0.79157      0.00097     
550          1100         0.79274      0.00110     
550          1150         0.79307      0.00101     
550          1200         0.79194      0.00099     
550          1250         0.79114      0.00109     
550          1300         0.78880      0.00095     
550          1350         0.79198      0.00094     
550          1400         0.78895      0.00102     
550          1450         0.78989      0.00114     
550          1500         0.78748      0.00089     
600          300          0.70631      0.00098     
600          350          0.70466      0.00110     
600          400          0.70199      0.00098     
600          450          0.70337      0.00090     
600          500          0.70392      0.00118     
600          550          0.70214      0.00101     
600          600          0.70164      0.00093     
600          650          0.70007      0.00092     
600          700          0.70061      0.00106     
600          750          0.69893      0.00073     
600          800          0.69850      0.00092     
600          850          0.69786      0.00100     
600          900          0.69943      0.00096     
600          950          0.69737      0.00115     
600          1000         0.69634      0.00097     
600          1050         0.69628      0.00096     
600          1100         0.69504      0.00103     
600          1150         0.69460      0.00093     
600          1200         0.69288      0.00095     
600          1250         0.69483      0.00087     
600          1300         0.69266      0.00103     
600          1350         0.69137      0.00090     
600          1400         0.69098      0.00080     
600          1450         0.69120      0.00092     
600          1500         0.69005      0.00090     
