Pressione [atm]    | Pitch      | k_max +/- sigma_k      | Delta_rho +/- err_rho [pcm]
-------------------------------------------------------------------------------------
1.00               | 0.100      | 1.00511 +/- 0.00716 | 508.3 +/- 708.3
1.00               | 0.110      | 0.98783 +/- 0.00672 | -1232.4 +/- 688.2
1.00               | 0.125      | 0.97365 +/- 0.00528 | -2706.3 +/- 556.9
1.00               | 0.150      | 0.96891 +/- 0.00305 | -3208.7 +/- 325.1
1.00               | 0.175      | 0.96931 +/- 0.00161 | -3166.0 +/- 171.8
1.00               | 0.200      | 0.97034 +/- 0.00125 | -3056.4 +/- 132.2
1.00               | 0.225      | 0.97134 +/- 0.00100 | -2950.8 +/- 106.3
1.00               | 0.250      | 0.96997 +/- 0.00080 | -3096.1 +/- 85.5
1.00               | 0.300      | 0.94810 +/- 0.00082 | -5474.4 +/- 91.2
1.00               | 0.375      | 0.93168 +/- 0.00067 | -7332.8 +/- 76.6
1.00               | 0.500      | 0.94267 +/- 0.00050 | -6081.3 +/- 55.8
1.00               | 0.625      | 0.95520 +/- 0.00035 | -4690.5 +/- 38.6
1.00               | 0.750      | 0.96559 +/- 0.00027 | -3563.5 +/- 29.1
1.00               | 1.000      | 0.97547 +/- 0.00020 | -2514.4 +/- 20.9
1.00               | 1.250      | 0.98015 +/- 0.00017 | -2025.3 +/- 17.5
1.00               | 1.500      | 0.98296 +/- 0.00017 | -1734.0 +/- 18.0
1.00               | 1.750      | 0.98472 +/- 0.00016 | -1552.0 +/- 16.8
1.00               | 2.000      | 0.98511 +/- 0.00016 | -1511.1 +/- 16.9
1.00               | 2.250      | 0.98625 +/- 0.00018 | -1393.8 +/- 18.8
1.00               | 2.500      | 0.98647 +/- 0.00018 | -1371.6 +/- 18.1
1.00               | 2.750      | 0.98697 +/- 0.00021 | -1320.6 +/- 22.0
1.00               | 3.000      | 0.98707 +/- 0.00025 | -1309.6 +/- 25.6
1.00               | 3.250      | 0.98768 +/- 0.00029 | -1247.6 +/- 30.0
1.00               | 3.500      | 0.98785 +/- 0.00032 | -1229.5 +/- 33.2
1.00               | 3.750      | 0.98820 +/- 0.00033 | -1193.6 +/- 33.9
1.00               | 4.000      | 0.98942 +/- 0.00041 | -1069.4 +/- 42.3
1.00               | 4.250      | 0.98915 +/- 0.00042 | -1096.7 +/- 43.0
1.00               | 4.500      | 0.99050 +/- 0.00048 | -959.5 +/- 49.2
1.00               | 4.750      | 0.99114 +/- 0.00057 | -893.4 +/- 58.1
1.00               | 5.000      | 0.99136 +/- 0.00071 | -871.6 +/- 72.2
1.00               | 5.500      | 0.99380 +/- 0.00080 | -624.2 +/- 80.7
1.00               | 6.000      | 0.99517 +/- 0.00099 | -485.3 +/- 100.0
1.00               | 6.500      | 0.99876 +/- 0.00139 | -124.2 +/- 139.6
1.00               | 7.000      | 0.99980 +/- 0.00148 | -20.3 +/- 148.4
1.00               | 7.500      | 1.00036 +/- 0.00178 | 36.4 +/- 178.1
1.00               | 8.000      | 1.00399 +/- 0.00213 | 397.3 +/- 210.9
