------ SIMULAZIONE DEL 22/03/2026 ALLE ORE 21:07 ------
=== PARAMETRI DI SIMULAZIONE ===
intensità sorgente: 2e+17 fotoni/s
Arricchimento: 0.05
percentuale di acqua leggera: 15.00 % 
Target (R, H, Pos): 2.0, 10.0, 40.0 cm
Settings: 120 batches, 1000000 particles, 10 inactive batches
================================

Pres [Pa]    PITCH [cm]   T_WATER [K]  T_FUEL [K]   K_EFF        STD_DEV     
101325      0.888       300          300          0.26577      0.00003     
101325      0.888       350          350          0.26516      0.00003     
101325      0.888       350          600          0.26374      0.00003 

101325      1.775       300          300          0.54718      0.00009     
101325      1.775       350          350          0.53680      0.00007     
101325      1.775       350          600          0.53012      0.00009     

101325      2.663       300          300          0.82453      0.00009     
101325      2.663       350          350          0.80854      0.00009     
101325      2.663       350          600          0.80228      0.00011     
