

------ SIMULAZIONE DEL 18/03/2026 ALLE ORE 14:56 ------
=== PARAMETRI DI SIMULAZIONE ===
intensità sorgente: 2.02e+17 fotoni/s
Arricchimento: 0.05
Target (R, H, Pos): 2.0, 10.0, 40.0 cm
Settings: 50 batches, 50000 particles, 10 inactive batches
================================

Pres [Pa]    PITCH [cm]   PERC_water   T_WATER [K]  T_FUEL [K]   K_EFF        STD_DEV     
101325.0    2.573       0.636       350          600          1.05955      0.00089     
101325.0    3.051       0.175       350          600          0.90874      0.00082     
101325.0    1.899       0.531       350          600          0.82201      0.00071     
101325.0    3.284       0.826       350          600          1.11989      0.00074     
101325.0    3.549       0.195       350          600          0.99801      0.00073     
101325.0    1.830       0.057       350          600          0.45679      0.00057     
101325.0    3.904       0.842       350          600          1.08407      0.00071     
101325.0    1.787       0.050       350          600          0.43959      0.00046     
101325.0    3.903       0.848       350          600          1.08325      0.00054     
101325.0    1.779       0.060       350          600          0.44632      0.00046     
101325.0    3.898       0.849       350          600          1.08403      0.00066     
101325.0    1.779       0.051       350          600          0.43890      0.00053     
101325.0    3.888       0.847       350          600          1.08350      0.00073     
101325.0    1.785       0.050       350          600          0.43886      0.00052     
101325.0    3.866       0.849       350          600          1.08571      0.00077     
101325.0    3.894       0.051       350          600          0.87730      0.00068     
101325.0    1.794       0.848       350          600          0.89537      0.00067     
101325.0    1.818       0.052       350          600          0.44840      0.00051     
101325.0    3.895       0.846       350          600          1.08255      0.00061     
101325.0    1.780       0.056       350          600          0.44411      0.00058     
101325.0    3.877       0.849       350          600          1.08465      0.00075     
101325.0    1.784       0.052       350          600          0.44129      0.00051     
101325.0    3.905       0.848       350          600          1.08267      0.00068     
101325.0    1.784       0.051       350          600          0.44003      0.00056     
101325.0    3.875       0.847       350          600          1.08618      0.00061     
101325.0    1.780       0.053       350          600          0.44117      0.00052     
101325.0    3.885       0.849       350          600          1.08400      0.00070     
101325.0    1.789       0.052       350          600          0.44183      0.00047     
101325.0    3.898       0.850       350          600          1.08248      0.00068     
101325.0    3.878       0.055       350          600          0.88189      0.00075     
101325.0    1.801       0.849       350          600          0.89871      0.00093     
101325.0    1.777       0.055       350          600          0.44225      0.00064     
101325.0    3.902       0.847       350          600          1.08233      0.00076     
101325.0    3.904       0.051       350          600          0.87847      0.00071     
101325.0    1.791       0.850       350          600          0.89663      0.00073     
101325.0    3.898       0.054       350          600          0.88361      0.00072     
101325.0    1.807       0.849       350          600          0.90112      0.00063     
101325.0    1.794       0.050       350          600          0.44189      0.00040     
101325.0    3.905       0.844       350          600          1.08383      0.00071     
101325.0    1.776       0.054       350          600          0.43981      0.00050     
101325.0    1.783       0.849       350          600          0.89191      0.00072     
101325.0    3.886       0.060       350          600          0.89154      0.00083     
101325.0    3.894       0.846       350          600          1.08254      0.00070     
101325.0    3.886       0.050       350          600          0.87442      0.00071     
101325.0    1.812       0.849       350          600          0.90250      0.00065     
101325.0    1.797       0.053       350          600          0.44443      0.00042     
101325.0    3.903       0.844       350          600          1.08467      0.00082     
101325.0    3.871       0.051       350          600          0.87459      0.00069     
101325.0    1.803       0.849       350          600          0.89945      0.00062     
101325.0    3.901       0.051       350          600          0.87857      0.00077     
101325.0    1.780       0.053       350          600          0.44131      0.00048     
101325.0    1.790       0.849       350          600          0.89454      0.00065     
101325.0    3.901       0.850       350          600          1.08296      0.00070     
101325.0    1.785       0.050       350          600          0.43829      0.00048     
101325.0    3.868       0.844       350          600          1.08480      0.00077     
