------ SIMULAZIONE DEL 17/03/2026 ALLE ORE 13:49 ------
=== PARAMETRI DI SIMULAZIONE ===
intensità sorgente: 2.02e+17 fotoni/s
Pressione: 101325 pa 
Arricchimento: 0.05
Target (R, H, Pos): 2.0, 10.0, 40.0 cm
Settings: 50 batches, 100000 particles inactive batches
Pitch         Mix         Fission         std
================================
0.59963      0.47536      2.34707e-02     3.98381e-04    
0.42481      0.07800      1.89943e-03     1.46209e-05    
0.34647      0.43309      2.03313e-03     1.63688e-05    
0.78089      0.35404      3.10785e-01     1.70552e-02    
0.44672      0.00704      1.62490e-03     1.43902e-05    
0.56212      0.47569      1.65584e-02     2.19375e-04    
0.71231      0.39349      8.71648e-02     2.38176e-03    
0.73060      0.31064      4.33785e-02     8.36671e-04    
0.66470      0.38348      2.70669e-02     4.86365e-04    
0.37127      0.29431      2.27586e-03     2.08115e-05    
0.62017      0.10172      4.92729e-03     5.99211e-05    
0.78316      0.35516      3.51986e-01     2.25520e-02    
0.78000      0.30000      7.43961e-02     2.28340e-03    
0.59963      0.47536      2.34707e-02     3.98381e-04    
0.42481      0.07800      1.89943e-03     1.46209e-05    
0.78810      0.35136      3.98956e-01     2.46355e-02    
0.78405      0.34721      2.95446e-01     2.14986e-02    
0.79141      0.34391      3.11968e-01     2.53674e-02    
0.78807      0.33489      1.86023e-01     1.05910e-02    
0.80141      0.33330      3.83025e-01     3.08213e-02    
0.51820      0.00058      2.15925e-03     2.22682e-05    
0.37056      0.07557      1.56508e-03     1.62485e-05    
0.77276      0.11966      1.25093e-02     2.11510e-04    
0.79882      0.32394      1.96756e-01     9.81904e-03    
0.78298      0.35506      3.71481e-01     2.31523e-02    
0.79658      0.33683      3.25509e-01     2.28579e-02    
0.79610      0.33078      2.38699e-01     1.62973e-02    
0.80284      0.33930      5.19236e-01     4.98198e-02    
0.80741      0.33669      7.11315e-01     7.59601e-02  
0.80914      0.34090      2.20523e+00     4.15151e-01  
0.58479      0.16855      5.84938e-03     8.36798e-05    
0.70687      0.07641      6.96312e-03     1.10017e-04    
0.80330      0.33854      5.18225e-01     5.03056e-02    
0.70997      0.16199      1.22803e-02     2.44576e-04    
0.80772      0.33746      7.25293e-01     7.39989e-02    
0.80895      0.34056      1.83662e+00     2.42794e-01
0.63120      0.65971      1.76589e-01     8.71086e-03    
0.63173      0.65896      1.56910e-01     9.13892e-03    
0.63095      0.66006      1.67888e-01     9.57990e-03    
0.61692      0.52575      3.68431e-02     1.09919e-03    
0.63136      0.65957      1.56763e-01     6.72816e-03    
0.73530      0.41263      2.63779e-01     1.19655e-02    
0.64849      0.40023      2.69477e-02     7.06662e-04    
0.61568      0.43023      2.19505e-02     4.57804e-04    
0.70506      0.44786      2.00080e-01     1.08995e-02    
0.66702      0.50382      6.89394e-02     2.34847e-03    
0.81560      0.30780      2.03453e-01     1.39584e-02    
0.80581      0.34331      1.85230e+00     2.58536e-01
0.81560      0.30780      2.03453e-01     1.39584e-02    
0.80581      0.34331      1.85230e+00     2.58536e-01    
0.80634      0.34222      1.36620e+00     2.55811e-01    
0.80219      0.34490      9.46000e-01     1.01019e-01    
0.80574      0.34333      1.68401e+00     2.74630e-01    
0.80676      0.34332      1.59977e+00     2.61398e-01    
0.80630      0.34422      1.71814e+00     3.40232e-01    
0.80499      0.34154      1.05005e+00     1.06922e-01
