------ SIMULAZIONE DEL 03/04/2026 ALLE ORE 20:10 ------
=== PARAMETRI DI SIMULAZIONE ===
intensità sorgente: 2.02e+17 fotoni/s
Target (R, H, Pos): 2.0, 10.0, 40.0 cm
Settings: 120 batches, 500000 particles, 10 inactive batches
================================

Pres [Pa]    PITCH [cm]   PERC_water   Arricch_INT     Arricch_EXT     T_WATER [K]  T_FUEL [K]   K_AUTO       STD_DEV     
101325.0    3.551       0.15        19.07          0              300          300          0.99559      0.00013     
101325.0    3.551       0.15        19.07          0              350          350          0.97860      0.00012     
101325.0    3.551       0.15        19.07          0              350          600          0.97550      0.00015   

101325.0    3.551       0.15        15.59          1              300          300          0.99595      0.00014     
101325.0    3.551       0.15        15.59          1              350          350          0.97864      0.00013     
101325.0    3.551       0.15        15.59          1              350          600          0.97520      0.00013   

101325.0    3.551       0.15        12.82          2              300          300          0.99682      0.00011     
101325.0    3.551       0.15        12.82          2              350          350          0.97899      0.00015     
101325.0    3.551       0.15        12.82          2              350          600          0.97557      0.00015  

101325.0    3.551       0.15        10.47          3              300          300          0.99713      0.00015     
101325.0    3.551       0.15        10.47          3              350          350          0.97949      0.00012     
101325.0    3.551       0.15        10.47          3              350          600          0.97541      0.00014     

101325.0    3.551       0.15        8.46           4              300          300          0.99756      0.00013     
101325.0    3.551       0.15        8.46           4              350          350          0.98007      0.00014     
101325.0    3.551       0.15        8.46           4              350          600          0.97584      0.00012     

101325.0    3.551       0.15        6.59           5              300          300          0.99686      0.00014     
101325.0    3.551       0.15        6.59           5              350          350          0.97939      0.00012     
101325.0    3.551       0.15        6.59           5              350          600          0.97533      0.00013     

101325.0    3.551       0.15        4.97           6              300          300          0.99644      0.00015     
101325.0    3.551       0.15        4.97           6              350          350          0.97909      0.00013     
101325.0    3.551       0.15        4.97           6              350          600          0.97501      0.00012     
101325.0    3.551       0.15        3.58           7              300          300          0.99706      0.00015     
101325.0    3.551       0.15        3.58           7              350          350          0.97972      0.00014     
101325.0    3.551       0.15        3.58           7              350          600          0.97531      0.00015     
101325.0    3.551       0.15        2.34           8              300          300          0.99748      0.00013     
101325.0    3.551       0.15        2.34           8              350          350          0.98022      0.00013     
