------ SIMULAZIONE DEL 02/04/2026 ALLE ORE 18:48 ------
=== PARAMETRI DI SIMULAZIONE ===
intensità sorgente: 2.02e+17 fotoni/s
Target (R, H, Pos): 2.0, 10.0, 40.0 cm
Settings: 120 batches, 500000 particles, 10 inactive batches
================================

Pres [Pa]    PITCH [cm]   PERC_water   Arricch_INT     Arricch_EXT     T_WATER [K]  T_FUEL [K]   K_AUTO       STD_DEV     K_MAX        STD_DEV     Compatibilità
101325.0    3.551       0.15        18.70          0              350          600          0.97288      0.00015     0.97547     0.00020     10.26342    
101325.0    3.551       0.15        19.07          0              350          600          0.97550      0.00015     0.97547     0.00020     0.11835     
101325.0    3.551       0.15        15.78          1              350          600          0.97655      0.00012     0.97547     0.00020     4.61755     
101325.0    3.551       0.15        15.40          1              350          600          0.97379      0.00012     0.97547     0.00020     7.23031     
101325.0    3.551       0.15        15.59          1              350          600          0.97504      0.00014     0.97547     0.00020     1.75597     
101325.0    3.551       0.15        13.10          2              350          600          0.97745      0.00015     0.97547     0.00020     8.01964     
101325.0    3.551       0.15        12.72          2              350          600          0.97440      0.00014     0.97547     0.00020     4.34601     
101325.0    3.551       0.15        12.91          2              350          600          0.97623      0.00012     0.97547     0.00020     3.23885     
101325.0    3.551       0.15        12.82          2              350          600          0.97557      0.00013     0.97547     0.00020     0.43211     
101325.0    3.551       0.15        10.66          3              350          600          0.97739      0.00014     0.97547     0.00020     7.90826     
101325.0    3.551       0.15        10.28          3              350          600          0.97371      0.00013     0.97547     0.00020     7.34775     
101325.0    3.551       0.15        10.47          3              350          600          0.97538      0.00013     0.97547     0.00020     0.38161     
101325.0    3.551       0.15        8.46           4              350          600          0.97584      0.00012     0.97547     0.00020     1.58446     
101325.0    3.551       0.15        6.50           5              350          600          0.97424      0.00015     0.97547     0.00020     4.87804     
101325.0    3.551       0.15        6.87           5              350          600          0.97829      0.00014     0.97547     0.00020     11.59287    
101325.0    3.551       0.15        6.69           5              350          600          0.97620      0.00015     0.97547     0.00020     2.94073     
101325.0    3.551       0.15        6.59           5              350          600          0.97515      0.00013     0.97547     0.00020     1.35692     
101325.0    3.551       0.15        4.78           6              350          600          0.97311      0.00011     0.97547     0.00020     10.25998    
101325.0    3.551       0.15        5.15           6              350          600          0.97704      0.00013     0.97547     0.00020     6.66657     
101325.0    3.551       0.15        4.97           6              350          600          0.97524      0.00014     0.97547     0.00020     0.96256     
