Pressione [atm]    | Pitch      | k_max +/- sigma_k      | Delta_rho +/- err_rho [pcm]
-------------------------------------------------------------------------------------
1.00               | 0.980      | 0.97467 +/- 0.00127 | -2598.4 +/- 134.0
1.00               | 1.000      | 0.97477 +/- 0.00078 | -2588.2 +/- 81.9
1.00               | 1.040      | 0.97603 +/- 0.00120 | -2456.0 +/- 126.5
1.00               | 1.045      | 0.97661 +/- 0.00120 | -2394.9 +/- 126.3
1.00               | 1.050      | 0.97734 +/- 0.00130 | -2318.1 +/- 135.7
1.00               | 1.100      | 0.97699 +/- 0.00108 | -2355.4 +/- 113.2
1.00               | 1.500      | 0.98328 +/- 0.00059 | -1700.3 +/- 60.9
1.00               | 2.000      | 0.98543 +/- 0.00063 | -1478.6 +/- 64.8
1.00               | 2.500      | 0.98535 +/- 0.00074 | -1487.0 +/- 76.4
1.00               | 3.000      | 0.98716 +/- 0.00091 | -1300.4 +/- 93.5
1.00               | 3.500      | 0.98734 +/- 0.00110 | -1282.3 +/- 112.4
1.00               | 4.000      | 0.99259 +/- 0.00132 | -746.7 +/- 134.3
1.00               | 4.500      | 0.98828 +/- 0.00171 | -1186.3 +/- 175.3
1.00               | 5.000      | 0.99361 +/- 0.00204 | -643.5 +/- 206.8
25.00              | 1.045      | 0.97663 +/- 0.00120 | -2392.4 +/- 126.1
50.00              | 1.000      | 0.97593 +/- 0.00073 | -2466.9 +/- 77.0
50.00              | 1.040      | 0.97729 +/- 0.00109 | -2324.1 +/- 114.2
50.00              | 1.045      | 0.97551 +/- 0.00113 | -2510.0 +/- 118.9
50.00              | 1.500      | 0.98318 +/- 0.00055 | -1710.4 +/- 57.3
50.00              | 2.000      | 0.98542 +/- 0.00067 | -1479.2 +/- 68.8
50.00              | 2.500      | 0.98643 +/- 0.00070 | -1375.2 +/- 72.2
75.00              | 1.045      | 0.97722 +/- 0.00123 | -2331.5 +/- 128.4
100.00             | 1.000      | 0.97544 +/- 0.00076 | -2517.3 +/- 80.4
100.00             | 1.045      | 0.97638 +/- 0.00110 | -2418.8 +/- 115.4
100.00             | 1.500      | 0.98334 +/- 0.00056 | -1694.0 +/- 58.0
100.00             | 2.000      | 0.98525 +/- 0.00064 | -1497.2 +/- 65.6
100.00             | 2.500      | 0.98678 +/- 0.00073 | -1339.5 +/- 74.7
150.00             | 1.000      | 0.97604 +/- 0.00076 | -2454.9 +/- 79.9
150.00             | 1.010      | 0.97501 +/- 0.00120 | -2563.3 +/- 126.1
150.00             | 1.040      | 0.97639 +/- 0.00120 | -2418.4 +/- 125.6
150.00             | 1.050      | 0.97615 +/- 0.00124 | -2443.3 +/- 130.0
150.00             | 1.100      | 0.97800 +/- 0.00069 | -2249.2 +/- 72.6
150.00             | 1.200      | 0.97958 +/- 0.00070 | -2085.0 +/- 72.9
150.00             | 1.500      | 0.98364 +/- 0.00054 | -1663.2 +/- 55.3
150.00             | 2.000      | 0.98461 +/- 0.00064 | -1562.6 +/- 65.9
150.00             | 2.500      | 0.98650 +/- 0.00072 | -1368.2 +/- 74.3
150.00             | 3.000      | 0.98685 +/- 0.00092 | -1332.4 +/- 94.9
150.00             | 3.500      | 0.98921 +/- 0.00113 | -1090.5 +/- 115.6
150.00             | 4.000      | 0.98860 +/- 0.00140 | -1152.8 +/- 143.6
150.00             | 4.500      | 0.99037 +/- 0.00169 | -972.0 +/- 172.6
150.00             | 5.000      | 0.99088 +/- 0.00216 | -920.8 +/- 219.6
