

------ SIMULAZIONE DEL 10/04/2026 ALLE ORE 20:14 ------
=== PARAMETRI DI SIMULAZIONE ===
intensità sorgente: 2.02e+17 fotoni/s
Target (R, H, Pos): 2.0, 10.0, 40.0 cm
Settings: 120 batches, 500000 particles, 10 inactive batches
================================

Pres [Pa]    PITCH [cm]   PERC_water   Arricch_INT     Arricch_EXT     T_WATER [K]  T_FUEL [K]   K_AUTO       STD_DEV     K_MAX        STD_DEV     Compatibilità
101325.0    3.551       0.15        5.00           5              350          600          0.95729      0.00013     0.97547     0.00020     76.96550    
101325.0    3.551       0.15        15.00          5              350          600          1.03239      0.00014     0.97547     0.00020     231.75282   
101325.0    3.551       0.15        7.42           5              350          600          0.98351      0.00014     0.97547     0.00020     32.99239    
101325.0    3.551       0.15        6.68           5              350          600          0.97598      0.00012     0.97547     0.00020     2.17930     
101325.0    5.326       0.15        5.00           5              350          600          1.07754      0.00015     0.98296     0.00017     414.74647   
101325.0    5.326       0.15        15.00          5              350          600          1.19061      0.00014     0.98296     0.00017     947.89335   
101325.0    5.326       0.15        0.00           5              350          600          0.90767      0.00011     0.98296     0.00017     368.06083   
101325.0    5.326       0.15        2.22           5              350          600          1.00506      0.00013     0.98296     0.00017     104.01335   
101325.0    5.326       0.15        1.71           5              350          600          0.98705      0.00013     0.98296     0.00017     19.04362    
101325.0    5.326       0.15        1.62           5              350          600          0.98368      0.00014     0.98296     0.00017     3.26737     
