Polar_Angle_rad PDF
8.775398473714505349e-03 9.098091825402091284e-03
2.632619542114351605e-02 2.426077057631104324e-04
4.387699236857252327e-02 4.733597902888426329e-04
6.142778931600154091e-02 8.967885464426535299e-04
7.897858626343054467e-02 1.169688765813637005e-03
9.652938321085954843e-02 1.468842546073808502e-03
1.140801801582885799e-01 1.671207510058164182e-03
1.316309771057175837e-01 1.951575783351932247e-03
1.491817740531465875e-01 2.190540562140575343e-03
1.667325710005755912e-01 2.406623583526659380e-03
1.842833679480045950e-01 2.677265577924152831e-03
2.018341648954336265e-01 2.893971150640337834e-03
2.193849618428626302e-01 3.159872094116112241e-03
2.369357587902916618e-01 3.431413708615427965e-03
2.544865557377206655e-01 3.619886592799772922e-03
2.720373526851496693e-01 3.881864509230224889e-03
2.895881496325786730e-01 4.161359289297863334e-03
3.071389465800076768e-01 4.369661452235558408e-03
3.246897435274366805e-01 4.594726808119747700e-03
3.422405404748656843e-01 4.857074221319784835e-03
3.597913374222947436e-01 5.035850310139867482e-03
3.773421343697237473e-01 5.381100072791846108e-03
3.948929313171527511e-01 5.581341414109965149e-03
4.124437282645817548e-01 5.797381310623759242e-03
4.299945252120107586e-01 6.056986608351953329e-03
4.475453221594397624e-01 6.375374139173000873e-03
4.650961191068687661e-01 6.591424011915419413e-03
4.826469160542977699e-01 6.971008712539684266e-03
5.001977130017267736e-01 7.130570625553807676e-03
5.177485099491558884e-01 7.377627530529197279e-03
5.352993068965847812e-01 7.622240599177887606e-03
5.528501038440138959e-01 7.881873596319692588e-03
5.704009007914427887e-01 8.090483809817406585e-03
5.879516977388719035e-01 8.348073093217679361e-03
6.055024946863007962e-01 8.625147896555301896e-03
6.230532916337299110e-01 8.823840245308925412e-03
6.406040885811588037e-01 9.037344525750175273e-03
6.581548855285879185e-01 9.353139282308570515e-03
6.757056824760168112e-01 9.526348578535067529e-03
6.932564794234459260e-01 9.753703674762765480e-03
7.108072763708749298e-01 1.003818088340498182e-02
7.283580733183039335e-01 1.029605943684650665e-02
7.459088702657330483e-01 1.051910336938728305e-02
7.634596672131619410e-01 1.072655602963207278e-02
7.810104641605910558e-01 1.108262823647777028e-02
7.985612611080199486e-01 1.128448035381712788e-02
8.161120580554490633e-01 1.143068504721676641e-02
8.336628550028779561e-01 1.171879540731381869e-02
8.512136519503070708e-01 1.183691684173489821e-02
8.687644488977359636e-01 1.218223539195681035e-02
8.863152458451650784e-01 1.230366536879018771e-02
9.038660427925939711e-01 1.239121024452972432e-02
9.214168397400230859e-01 1.259916521917179080e-02
9.389676366874519786e-01 1.278776151150096650e-02
9.565184336348810934e-01 1.289841651422211043e-02
9.740692305823100972e-01 1.295855443889876862e-02
9.916200275297391009e-01 1.308306223939451410e-02
1.009170824477167994e+00 1.332893550453011049e-02
1.026721621424597108e+00 1.338089957557757857e-02
1.044272418372026223e+00 1.331767055296636040e-02
1.061823215319455116e+00 1.361474832515225525e-02
1.079374012266884009e+00 1.369356304570364287e-02
1.096924809214313123e+00 1.366067722420945263e-02
1.114475606161742238e+00 1.369499106015296258e-02
1.132026403109171131e+00 1.363849645862205695e-02
1.149577200056600246e+00 1.362394941235943804e-02
1.167127997004029361e+00 1.362402785316454458e-02
1.184678793951458253e+00 1.365949004993288578e-02
1.202229590898887146e+00 1.348966872599228865e-02
1.219780387846316261e+00 1.343139239376891711e-02
1.237331184793745376e+00 1.330269117497558801e-02
1.254881981741174268e+00 1.332324415019246755e-02
1.272432778688603161e+00 1.319869721866968708e-02
1.289983575636032276e+00 1.302246576338846745e-02
1.307534372583461391e+00 1.298170160171652210e-02
1.325085169530890283e+00 1.263759136412994158e-02
1.342635966478319176e+00 1.253294685676478205e-02
1.360186763425748291e+00 1.236091336275875301e-02
1.377737560373177406e+00 1.205542534076635940e-02
1.395288357320606298e+00 1.185937888807946615e-02
1.412839154268035191e+00 1.161939975081171042e-02
1.430389951215464528e+00 1.118194701118647646e-02
1.447940748162893421e+00 1.082853478434484852e-02
1.465491545110322313e+00 1.069291446469954748e-02
1.483042342057751428e+00 1.021178897570290157e-02
1.500593139005180543e+00 9.819958758492456502e-03
1.518143935952609436e+00 9.520941664669243035e-03
1.535694732900038328e+00 9.064090065499783022e-03
1.553245529847467443e+00 8.676778180427471149e-03
1.570796326794896558e+00 8.408874591077293223e-03
1.588347123742325451e+00 8.276320626261114352e-03
1.605897920689754343e+00 8.195760969411698335e-03
1.623448717637183458e+00 8.155946754660539644e-03
1.640999514584612573e+00 8.130582944638536577e-03
1.658550311532041466e+00 8.063314893864130528e-03
1.676101108479470359e+00 8.021960298438161191e-03
1.693651905426899695e+00 8.040464420340509566e-03
1.711202702374328588e+00 7.866251300375499966e-03
1.728753499321757481e+00 7.798021924212823926e-03
1.746304296269186596e+00 7.735527383445148751e-03
1.763855093216615710e+00 7.692939496225348339e-03
1.781405890164044603e+00 7.565142365752747927e-03
1.798956687111473496e+00 7.389274604716230578e-03
1.816507484058902611e+00 7.342492568995014242e-03
1.834058281006331725e+00 7.155310930763250123e-03
1.851609077953760618e+00 7.084096011212810858e-03
1.869159874901189511e+00 6.877766031031063571e-03
1.886710671848618626e+00 6.820589324951669905e-03
1.904261468796047740e+00 6.615258562040910936e-03
1.921812265743476633e+00 6.489428209531516480e-03
1.939363062690905526e+00 6.249856659095975528e-03
1.956913859638334863e+00 6.012884812181961032e-03
1.974464656585763755e+00 5.824886935135704588e-03
1.992015453533192648e+00 5.560947706739273987e-03
2.009566250480621541e+00 5.346159061155034663e-03
2.027117047428050878e+00 5.100325093673516164e-03
2.044667844375479770e+00 4.881966705680595292e-03
2.062218641322908663e+00 4.593683320766700842e-03
2.079769438270338000e+00 4.331931949616273439e-03
2.097320235217766893e+00 3.939540117703429524e-03
2.114871032165195786e+00 3.657316643958039536e-03
2.132421829112624678e+00 3.263528019638616603e-03
2.149972626060053571e+00 2.929044663136526599e-03
2.167523423007482908e+00 2.518953984325291839e-03
2.185074219954911801e+00 2.147785326463387719e-03
2.202625016902340693e+00 1.714396671175005956e-03
2.220175813849770030e+00 1.277324715729038357e-03
2.237726610797198923e+00 8.369061021516871739e-04
2.255277407744627816e+00 4.050071101241768472e-04
2.272828204692056708e+00 1.261393065649553532e-04
2.290379001639486045e+00 5.878325793109667025e-05
2.307929798586914938e+00 2.212257646617436568e-05
2.325480595534343831e+00 7.564445697457880611e-06
2.343031392481773167e+00 9.611273928136137324e-07
2.360582189429202060e+00 6.954088739815476227e-13
2.378132986376630953e+00 0.000000000000000000e+00
2.395683783324059846e+00 0.000000000000000000e+00
2.413234580271488738e+00 0.000000000000000000e+00
2.430785377218918075e+00 0.000000000000000000e+00
2.448336174166346968e+00 0.000000000000000000e+00
2.465886971113775861e+00 0.000000000000000000e+00
2.483437768061205198e+00 0.000000000000000000e+00
2.500988565008634090e+00 0.000000000000000000e+00
2.518539361956062983e+00 0.000000000000000000e+00
2.536090158903491876e+00 0.000000000000000000e+00
2.553640955850921213e+00 0.000000000000000000e+00
2.571191752798350105e+00 0.000000000000000000e+00
2.588742549745778998e+00 0.000000000000000000e+00
2.606293346693208335e+00 0.000000000000000000e+00
2.623844143640637228e+00 0.000000000000000000e+00
2.641394940588066120e+00 0.000000000000000000e+00
