Energy_eV PDF
1.014036611915432360e+02 2.072545403230140731e-08
1.042503888694426450e+02 7.760325371618391766e-09
1.071770333706292604e+02 1.678038910702428409e-08
1.101858382179710532e+02 2.270876192579805957e-08
1.132791099172556528e+02 4.021901707867768744e-08
1.164592197253239760e+02 1.981835513700719526e-08
1.197286054678409073e+02 1.851990751453098755e-08
1.230897734080969599e+02 1.811103727775705989e-08
1.265453001682729450e+02 1.960239098572084894e-08
1.300978347046408885e+02 3.618559216157534588e-08
1.337501003382151907e+02 3.378125261725479004e-08
1.375048968424106022e+02 5.388100373966177584e-08
1.413651025893076394e+02 3.200151798261866174e-08
1.453336767561704903e+02 3.443133920533846618e-08
1.494136615939090689e+02 3.845958734285085161e-08
1.536081847592240592e+02 5.991529782145583074e-08
1.579204617122226466e+02 2.890812445844293058e-08
1.623537981813433930e+02 2.820230207352569277e-08
1.669115926974793638e+02 3.307125610201793296e-08
1.715973391992419010e+02 5.263346442018678832e-08
1.764146297113631476e+02 4.369858719886580354e-08
1.813671570982894536e+02 3.265188211067837624e-08
1.864587178950774273e+02 8.009307578426917767e-08
1.916932152177620878e+02 2.012246271385293604e-08
1.970746617554285649e+02 4.322977935326411983e-08
2.026071828462807503e+02 5.060285796173185972e-08
2.082950196400654477e+02 4.618437096320474415e-08
2.141425323492754842e+02 4.391587737079181410e-08
2.201542035916249915e+02 6.320910526618250329e-08
2.263346418263585349e+02 6.712506196141010581e-08
2.326885848870286111e+02 6.527489959541741439e-08
2.392209036134494511e+02 4.853488779835562265e-08
2.459366055856116589e+02 6.567936464633433916e-08
2.528408389624197525e+02 6.465343805126965092e-08
2.599388964281953918e+02 6.846950075785598492e-08
2.672362192499722369e+02 1.122224638434668816e-07
2.747384014486910360e+02 6.064592831681592130e-08
2.824511940874942866e+02 8.930848058243880908e-08
2.903805096804074992e+02 7.287862403794715501e-08
2.985324267247863190e+02 9.866688701438167288e-08
3.069131943610025814e+02 1.157941960791253254e-07
3.155292371629448667e+02 1.044828084337019008e-07
3.243871600630023977e+02 1.360942816083695438e-07
3.334937534153098113e+02 1.315413261182486494e-07
3.428559982011331613e+02 1.415524352582585578e-07
3.524810713803882436e+02 1.229955610700780209e-07
3.623763513933931222e+02 1.186348036009251851e-07
3.725494238170721246e+02 1.257094957070408738e-07
3.830080871799486886e+02 1.437318510527586598e-07
3.937603589403829574e+02 1.823298889099026008e-07
4.048144816326381488e+02 1.509073207418470049e-07
4.161789291854867088e+02 1.390984906343222450e-07
4.278624134182006173e+02 1.583291094240358234e-07
4.398738907189042493e+02 1.646440406873998620e-07
4.522225689104095636e+02 1.794907080559143937e-07
4.649179143088001638e+02 2.139917189238511965e-07
4.779696589801701521e+02 2.096769786911201535e-07
4.913878082010830894e+02 2.348182084373690809e-07
5.051826481284703050e+02 2.766825300291615237e-07
5.193647536848498021e+02 2.177227888920998865e-07
5.339449966649067392e+02 2.487284065792845282e-07
5.489345540696513126e+02 2.787356658958739963e-07
5.643449166745449475e+02 3.519874677940115837e-07
5.801878978381603247e+02 3.158369196957290882e-07
5.964756425581301755e+02 3.220816053065358585e-07
6.132206367813238330e+02 3.504478071321511196e-07
6.304357169753916423e+02 3.562368617618846568e-07
6.481340799690137828e+02 4.603931253975630818e-07
6.663292930683954864e+02 3.462565750839853765e-07
6.850353044577668697e+02 5.764606529698436167e-07
7.042664538918550079e+02 5.488944536065237060e-07
7.240374836885307559e+02 3.980892505732268660e-07
7.443635500300549666e+02 3.743173227318020618e-07
7.652602345815861327e+02 4.036001324272353089e-07
7.867435564358559077e+02 3.990389299728987985e-07
8.088299843931706619e+02 4.467107113267022947e-07
8.315364495861549585e+02 4.147084381288258605e-07
8.548803584589099955e+02 4.326261692777115604e-07
8.788796061105372246e+02 4.885377794289105871e-07
9.035525900132611241e+02 4.915879564917205396e-07
9.289182241156613600e+02 5.366218574917097826e-07
9.549959533418302726e+02 5.309538982486983279e-07
9.818057684975659640e+02 6.576514111674712242e-07
1.009368221595032765e+03 5.138681371461785109e-07
1.037704441607632589e+03 6.222563650794788591e-07
1.066836150667166066e+03 5.440589572885165654e-07
