Polar_Angle_rad PDF
8.775398473714505349e-03 4.887286182170938291e-03
2.632619542114351605e-02 1.524712382372554146e-04
4.387699236857252327e-02 3.647868353414817776e-04
6.142778931600154091e-02 8.341356028518596413e-04
7.897858626343054467e-02 8.849016800480413204e-04
9.652938321085954843e-02 1.024398858976335739e-03
1.140801801582885799e-01 1.182567441345280888e-03
1.316309771057175837e-01 1.379527191415180548e-03
1.491817740531465875e-01 1.638962104019360284e-03
1.667325710005755912e-01 2.391861300424147265e-03
1.842833679480045950e-01 2.102736361026299582e-03
2.018341648954336265e-01 2.276345086989938187e-03
2.193849618428626302e-01 2.636314951902275164e-03
2.369357587902916618e-01 2.731553254365718005e-03
2.544865557377206655e-01 2.525827660292214154e-03
2.720373526851496693e-01 2.856878758408526713e-03
2.895881496325786730e-01 2.922466281861514897e-03
3.071389465800076768e-01 3.252576372656398439e-03
3.246897435274366805e-01 3.472746411413927745e-03
3.422405404748656843e-01 3.294189745472495250e-03
3.597913374222947436e-01 3.598308867338708816e-03
3.773421343697237473e-01 3.420002490606800089e-03
3.948929313171527511e-01 3.441119679097482537e-03
4.124437282645817548e-01 3.988225380991182803e-03
4.299945252120107586e-01 4.092084107370803393e-03
4.475453221594397624e-01 4.169709383691322380e-03
4.650961191068687661e-01 4.263806885160804222e-03
4.826469160542977699e-01 4.760178798608764514e-03
5.001977130017267736e-01 4.788941375653133284e-03
5.177485099491558884e-01 4.838650495669559980e-03
5.352993068965847812e-01 5.013988415479034462e-03
5.528501038440138959e-01 4.948940870888207666e-03
5.704009007914427887e-01 5.110693007538956792e-03
5.879516977388719035e-01 4.825979962476340153e-03
6.055024946863007962e-01 5.090272153675486251e-03
6.230532916337299110e-01 5.749133120011289122e-03
6.406040885811588037e-01 5.547401888736881378e-03
6.581548855285879185e-01 6.256182396399875487e-03
6.757056824760168112e-01 5.510449781291942330e-03
6.932564794234459260e-01 5.831950321192458722e-03
7.108072763708749298e-01 5.836203248176017808e-03
7.283580733183039335e-01 6.163574297364532960e-03
7.459088702657330483e-01 6.213016028865548865e-03
7.634596672131619410e-01 6.841820634136774534e-03
7.810104641605910558e-01 6.435481940729992877e-03
7.985612611080199486e-01 6.189299028563203554e-03
8.161120580554490633e-01 6.771594598120501615e-03
8.336628550028779561e-01 6.649372102003191232e-03
8.512136519503070708e-01 6.933470258047395689e-03
8.687644488977359636e-01 6.880392249654376097e-03
8.863152458451650784e-01 6.654885183451606477e-03
9.038660427925939711e-01 6.685658768179902206e-03
9.214168397400230859e-01 6.873600848144679164e-03
9.389676366874519786e-01 7.182546034903325612e-03
9.565184336348810934e-01 7.602942605763552721e-03
9.740692305823100972e-01 7.328867922880228161e-03
9.916200275297391009e-01 7.458920283968282876e-03
1.009170824477167994e+00 7.494520619069485953e-03
1.026721621424597108e+00 7.456962592800528422e-03
1.044272418372026223e+00 7.453980592432225480e-03
1.061823215319455116e+00 7.656261862907468713e-03
1.079374012266884009e+00 7.810704914094976706e-03
1.096924809214313123e+00 7.477423428370301439e-03
1.114475606161742238e+00 7.486554778710199920e-03
1.132026403109171131e+00 7.897494085842412734e-03
1.149577200056600246e+00 7.750907944811899312e-03
1.167127997004029361e+00 8.040488843216068299e-03
1.184678793951458253e+00 7.783895671319378436e-03
1.202229590898887146e+00 8.271831871786693505e-03
1.219780387846316261e+00 8.123735053363872333e-03
1.237331184793745376e+00 8.007875055921549745e-03
1.254881981741174268e+00 8.432953600326538457e-03
1.272432778688603161e+00 8.452423639916826700e-03
1.289983575636032276e+00 8.264375272676276543e-03
1.307534372583461391e+00 8.415218496638265586e-03
1.325085169530890283e+00 8.139891952235057959e-03
1.342635966478319176e+00 8.432481853518247750e-03
1.360186763425748291e+00 8.474191315901928589e-03
1.377737560373177406e+00 8.241750013087731364e-03
1.395288357320606298e+00 8.538591808245583198e-03
1.412839154268035191e+00 8.275520720850781595e-03
1.430389951215464528e+00 8.650494140473334245e-03
1.447940748162893421e+00 8.524184987396680666e-03
1.465491545110322313e+00 8.574233767567678369e-03
1.483042342057751428e+00 8.378171359391428305e-03
1.500593139005180543e+00 8.273475189958669207e-03
1.518143935952609436e+00 8.579387380451337919e-03
1.535694732900038328e+00 8.388923807670600058e-03
1.553245529847467443e+00 8.629005777439314670e-03
1.570796326794896558e+00 8.381035774554214390e-03
1.588347123742325451e+00 8.742007958539271817e-03
1.605897920689754343e+00 8.443941630429236539e-03
1.623448717637183458e+00 8.641188694317231481e-03
1.640999514584612573e+00 8.144042335606144212e-03
1.658550311532041466e+00 8.200563382585067049e-03
1.676101108479470359e+00 8.127135664081245464e-03
1.693651905426899695e+00 8.464085767094592372e-03
1.711202702374328588e+00 8.253527971946589270e-03
1.728753499321757481e+00 8.178682985744071057e-03
1.746304296269186596e+00 8.364869868258040589e-03
1.763855093216615710e+00 8.415669983505602234e-03
1.781405890164044603e+00 8.158234465203882679e-03
1.798956687111473496e+00 7.585782598081804683e-03
1.816507484058902611e+00 7.728016647770991239e-03
1.834058281006331725e+00 8.020665720971686605e-03
1.851609077953760618e+00 7.968339153579336379e-03
1.869159874901189511e+00 7.924633683458713607e-03
1.886710671848618626e+00 8.088056109556132980e-03
1.904261468796047740e+00 7.558834798353757621e-03
1.921812265743476633e+00 7.353099123000850917e-03
1.939363062690905526e+00 7.888826288823126698e-03
1.956913859638334863e+00 7.806910743667399601e-03
1.974464656585763755e+00 7.753589740807718088e-03
1.992015453533192648e+00 7.447827689010337246e-03
2.009566250480621541e+00 7.572253125222256319e-03
2.027117047428050878e+00 7.927355767945907031e-03
2.044667844375479770e+00 7.295761312381614933e-03
2.062218641322908663e+00 7.350141499731107329e-03
2.079769438270338000e+00 7.260449779487873102e-03
2.097320235217766893e+00 7.235625710022526753e-03
2.114871032165195786e+00 6.848790768819600430e-03
2.132421829112624678e+00 6.866849186977225759e-03
2.149972626060053571e+00 6.710907685770546582e-03
2.167523423007482908e+00 6.705818436218482885e-03
2.185074219954911801e+00 6.560263417786271929e-03
2.202625016902340693e+00 6.554372446506340731e-03
2.220175813849770030e+00 6.339062312954404053e-03
2.237726610797198923e+00 6.279710370131124514e-03
2.255277407744627816e+00 6.753365685444742521e-03
2.272828204692056708e+00 6.261537177130562133e-03
2.290379001639486045e+00 6.120202236932927205e-03
2.307929798586914938e+00 6.200699740648754621e-03
2.325480595534343831e+00 6.167505022114571668e-03
2.343031392481773167e+00 5.537011816827886249e-03
2.360582189429202060e+00 5.586314098714121289e-03
2.378132986376630953e+00 5.526863706394971078e-03
2.395683783324059846e+00 5.518178195271719252e-03
2.413234580271488738e+00 5.548392510926056752e-03
2.430785377218918075e+00 5.258435818058691640e-03
2.448336174166346968e+00 5.013041615359980184e-03
2.465886971113775861e+00 4.910016621447387160e-03
2.483437768061205198e+00 4.495665731735207400e-03
2.500988565008634090e+00 4.826446483532086627e-03
2.518539361956062983e+00 4.852124397466640524e-03
2.536090158903491876e+00 4.821211976964796114e-03
2.553640955850921213e+00 4.204821701857299789e-03
2.571191752798350105e+00 4.441531998437955875e-03
2.588742549745778998e+00 3.939076902165127882e-03
2.606293346693208335e+00 3.870628342836805041e-03
2.623844143640637228e+00 3.960129780269476367e-03
2.641394940588066120e+00 4.138533199603586926e-03
2.658945737535495013e+00 3.522718978511974342e-03
2.676496534482923906e+00 3.435455512003548085e-03
2.694047331430353243e+00 3.318900737668435078e-03
2.711598128377782135e+00 3.191916526597187668e-03
2.729148925325211028e+00 3.381147580913254277e-03
2.746699722272640365e+00 2.958511363300635275e-03
2.764250519220069258e+00 2.679424241599453246e-03
2.781801316167498150e+00 2.839925697276713887e-03
2.799352113114927043e+00 2.745345323313044036e-03
2.816902910062355936e+00 2.138797850767912723e-03
2.834453707009785273e+00 2.412559631558950854e-03
2.852004503957214165e+00 2.119737024938671364e-03
2.869555300904643502e+00 2.087197937844506319e-03
2.887106097852072395e+00 2.061963080204079479e-03
2.904656894799501288e+00 1.746644331844710235e-03
2.922207691746930180e+00 1.506005737597731521e-03
