Angle PDF
2.632619542114351605e-02 2.057524000686882654e-04
4.387699236857252327e-02 2.751231958984400494e-04
6.142778931600154091e-02 3.835432749285966770e-04
7.897858626343054467e-02 5.224526667450741547e-04
9.652938321085954843e-02 6.033631664533369975e-04
1.140801801582885799e-01 7.029914683583482309e-04
1.316309771057175837e-01 8.182219301857549714e-04
1.491817740531465875e-01 9.644870148605893048e-04
1.667325710005755912e-01 1.118298237746450990e-03
1.842833679480045950e-01 1.216533874031555358e-03
2.018341648954336265e-01 1.304820285736442041e-03
2.193849618428626302e-01 1.448410031878473621e-03
2.369357587902916618e-01 1.561314934804692266e-03
2.544865557377206655e-01 1.740605878921954418e-03
2.720373526851496693e-01 1.786863621687576498e-03
2.895881496325786730e-01 1.962501112986752509e-03
3.071389465800076768e-01 2.129776346103960053e-03
3.246897435274366805e-01 2.331780403987199907e-03
3.422405404748656843e-01 2.537165677986126956e-03
3.597913374222947436e-01 2.623192450606526803e-03
3.773421343697237473e-01 2.802823684857102746e-03
3.948929313171527511e-01 3.108764909532929412e-03
4.124437282645817548e-01 3.271455976602846271e-03
4.299945252120107586e-01 3.460729028105711830e-03
4.475453221594397624e-01 3.632482782005128866e-03
4.650961191068687661e-01 3.837680260107569161e-03
4.826469160542977699e-01 3.969196528714793656e-03
5.001977130017267736e-01 4.219152766666656694e-03
5.177485099491558884e-01 4.424410576014248600e-03
5.352993068965847812e-01 4.739371232265180214e-03
5.528501038440138959e-01 4.938373543292610794e-03
5.704009007914427887e-01 4.999299745368216384e-03
5.879516977388719035e-01 5.191543844230507403e-03
6.055024946863007962e-01 5.486861639997826431e-03
6.230532916337299110e-01 5.760623191422654943e-03
6.406040885811588037e-01 6.057743172081174812e-03
6.581548855285879185e-01 6.190865005334741586e-03
6.757056824760168112e-01 6.400577559600146779e-03
6.932564794234459260e-01 6.628209114364641379e-03
7.108072763708749298e-01 6.863507072530256568e-03
7.283580733183039335e-01 6.952324043133037250e-03
7.459088702657330483e-01 7.266160166507125602e-03
7.634596672131619410e-01 7.403921491090942157e-03
7.810104641605910558e-01 7.840338925331291273e-03
7.985612611080199486e-01 7.706194560603578728e-03
8.161120580554490633e-01 8.170875650657280845e-03
8.336628550028779561e-01 8.272761922566627263e-03
8.512136519503070708e-01 8.347922709142011413e-03
8.687644488977359636e-01 8.627713193363813204e-03
8.863152458451650784e-01 8.933934578990316774e-03
9.038660427925939711e-01 8.838733729413700974e-03
9.214168397400230859e-01 8.732835073181972191e-03
9.389676366874519786e-01 9.024120571805871807e-03
9.565184336348810934e-01 8.757288245371084787e-03
9.740692305823100972e-01 9.041184151584037709e-03
9.916200275297391009e-01 9.206468671425419373e-03
1.009170824477167994e+00 9.177918095316411201e-03
1.026721621424597108e+00 9.331793887362015150e-03
1.044272418372026223e+00 9.196087232538379536e-03
1.061823215319455116e+00 9.113247670335066636e-03
1.079374012266884009e+00 9.386124342701182566e-03
1.096924809214313123e+00 9.283229062514325794e-03
1.114475606161742238e+00 9.495400697059565645e-03
1.132026403109171131e+00 9.171524315592890705e-03
1.149577200056600246e+00 9.170246028013580991e-03
1.167127997004029361e+00 9.152463880609390534e-03
1.184678793951458253e+00 9.140617824971062136e-03
1.202229590898887146e+00 9.175409453963329423e-03
1.219780387846316261e+00 9.041325894025342702e-03
1.237331184793745376e+00 9.119061143762607208e-03
1.254881981741174268e+00 9.062502183956714502e-03
1.272432778688603161e+00 8.871461348794474830e-03
1.289983575636032276e+00 8.894192376557594551e-03
1.307534372583461391e+00 8.713037052382677922e-03
1.325085169530890283e+00 8.813439022431653058e-03
1.342635966478319176e+00 8.504418523494988377e-03
1.360186763425748291e+00 8.375723598616144350e-03
1.377737560373177406e+00 8.361610659696599654e-03
1.395288357320606298e+00 8.117307733113534110e-03
1.412839154268035191e+00 8.192983158051780901e-03
1.430389951215464528e+00 7.892807502007659348e-03
1.447940748162893421e+00 7.735831772306791740e-03
1.465491545110322313e+00 7.522331329199166347e-03
1.483042342057751428e+00 7.555437054207529007e-03
1.500593139005180543e+00 7.360386247840592679e-03
1.518143935952609436e+00 7.291775682600423573e-03
1.535694732900038328e+00 7.139548851096019083e-03
1.553245529847467443e+00 6.935081456449835452e-03
1.570796326794896558e+00 6.926331526615524606e-03
1.588347123742325451e+00 6.885720089727256563e-03
1.605897920689754343e+00 6.963803390680884525e-03
1.623448717637183458e+00 6.943748642785236083e-03
1.640999514584612573e+00 6.887517630855649088e-03
1.658550311532041466e+00 6.965399220883796219e-03
1.676101108479470359e+00 6.902951223074994293e-03
1.693651905426899695e+00 6.983333651411951712e-03
1.711202702374328588e+00 6.943765341067117437e-03
1.728753499321757481e+00 6.975433359561656124e-03
1.746304296269186596e+00 6.923712726492038672e-03
1.763855093216615710e+00 6.875838229513033147e-03
1.781405890164044603e+00 6.937951277726138455e-03
1.798956687111473496e+00 6.839242888738138355e-03
1.816507484058902611e+00 6.937131675710693154e-03
1.834058281006331725e+00 7.013049622731856031e-03
1.851609077953760618e+00 6.807569776963030665e-03
1.869159874901189511e+00 6.803059965262186343e-03
1.886710671848618626e+00 6.823975941521133112e-03
1.904261468796047740e+00 6.838306436484282470e-03
1.921812265743476633e+00 6.829365859961462719e-03
1.939363062690905526e+00 6.650910941699606643e-03
1.956913859638334863e+00 6.680755752725118374e-03
1.974464656585763755e+00 6.645645121667949524e-03
1.992015453533192648e+00 6.599592711905874140e-03
2.009566250480621541e+00 6.648239856733282639e-03
2.027117047428050878e+00 6.424727790265754614e-03
2.044667844375479770e+00 6.514781405599902493e-03
2.062218641322908663e+00 6.343319484772427970e-03
2.079769438270338000e+00 6.422169536309755428e-03
2.097320235217766893e+00 6.340670027980022452e-03
2.114871032165195786e+00 6.311081279744720079e-03
2.132421829112624678e+00 6.312232470882527501e-03
2.149972626060053571e+00 6.262839164435421088e-03
2.167523423007482908e+00 6.240388232600428860e-03
2.185074219954911801e+00 6.020659702787083123e-03
2.202625016902340693e+00 6.033936264819568344e-03
2.220175813849770030e+00 5.985544973764179294e-03
2.237726610797198923e+00 6.002629766218468658e-03
2.255277407744627816e+00 5.914424909809144412e-03
2.272828204692056708e+00 5.826399147438128014e-03
2.290379001639486045e+00 5.792629393927624555e-03
2.307929798586914938e+00 5.722731150816236234e-03
2.325480595534343831e+00 5.671398306873388917e-03
2.343031392481773167e+00 5.590513494316756010e-03
2.360582189429202060e+00 5.577771660410440341e-03
2.378132986376630953e+00 5.524952443729788665e-03
2.395683783324059846e+00 5.432633926333771922e-03
2.413234580271488738e+00 5.337969152075872428e-03
2.430785377218918075e+00 5.318486302256145333e-03
2.448336174166346968e+00 5.215648668914082790e-03
2.465886971113775861e+00 5.155356370374604078e-03
2.483437768061205198e+00 5.248932167321429705e-03
2.500988565008634090e+00 5.155319275149001026e-03
2.518539361956062983e+00 4.941918250126266059e-03
2.536090158903491876e+00 4.927228606609799361e-03
2.553640955850921213e+00 4.847140815477780570e-03
2.571191752798350105e+00 4.834675031314210857e-03
2.588742549745778998e+00 4.890546079440902597e-03
2.606293346693208335e+00 4.702555729835102699e-03
2.623844143640637228e+00 4.606864106981232478e-03
2.641394940588066120e+00 4.518600711712205883e-03
2.658945737535495013e+00 4.549864422325215416e-03
2.676496534482923906e+00 4.351899633529638690e-03
2.694047331430353243e+00 4.236265286968776342e-03
2.711598128377782135e+00 3.928491410215499691e-03
2.729148925325211028e+00 3.684481215321229030e-03
2.746699722272640365e+00 3.544799169490274200e-03
2.764250519220069258e+00 3.269979713044494224e-03
2.781801316167498150e+00 2.995187674517231849e-03
2.799352113114927043e+00 2.792220813138045384e-03
2.816902910062355936e+00 2.422096659549434917e-03
2.834453707009785273e+00 2.211100938971295379e-03
2.852004503957214165e+00 2.009484687535955869e-03
2.869555300904643502e+00 1.850870316932551286e-03
2.887106097852072395e+00 1.694706975351508143e-03
2.904656894799501288e+00 1.501732311802915932e-03
2.922207691746930180e+00 1.334849245926503919e-03
2.939758488694359073e+00 1.200994451516622201e-03
2.957309285641788410e+00 1.059099205793001975e-03
2.974860082589217303e+00 9.688193238335255286e-04
2.992410879536646195e+00 8.764358525038448136e-04
3.009961676484075532e+00 7.927941677982076061e-04
3.027512473431504425e+00 6.953263156697177044e-04
3.045063270378933318e+00 6.392993553345302114e-04
3.062614067326362211e+00 5.870946929755853621e-04
3.080164864273791103e+00 5.217449382815092214e-04
3.097715661221220440e+00 5.307773184647732873e-04
3.115266458168649333e+00 6.554035653707919983e-04
