------ ANALISI K_EFF CONGELATO DEL 14/05/2026 ALLE ORE 12:07 ------
Settings: 100 batches, 1000000 particles, 10 inactive
===============================================================
Step   Tempo [gg]      K_EFF           STD_DEV        
0      0.0000          0.46730         0.00009        
1      0.1000          0.46482         0.00009        
2      0.5000          0.45887         0.00009        
3      1.0000          0.45523         0.00009        
4      2.0000          0.45555         0.00009        
5      5.0000          0.45433         0.00007        
6      10.0000         0.45236         0.00009        
7      20.0000         0.44883         0.00009        
8      50.0000         0.43854         0.00008        
9      100.0000        0.42327         0.00010        
10     150.0000        0.40830         0.00009        
11     200.0000        0.39434         0.00005            
12     200.0500        0.39107         0.00011        
13     200.1500        0.38735         0.00011        
14     200.3000        0.38507         0.00010        
15     200.5000        0.38465         0.00011        
16     201.0000        0.38734         0.00011        
17     202.0000        0.39287         0.00011        
18     205.0000        0.39451         0.00005                 
19     215.0000        0.39398         0.00011        
20     230.0000        0.39394         0.00010        
21     250.0000        0.39386         0.00012        

