------ ANALISI K_EFF CONGELATO DEL 16/05/2026 ALLE ORE 10:01 ------
Settings base: 75 b, 100000 p | Settings high: 200 b, 1000000 p
===============================================================
Step   Tempo [gg]      K_EFF           STD_DEV         STATISTICA     
0      0.0000          1.00274         0.00048         NORM           
1      0.1000          0.98906         0.00046         NORM           
2      0.5000          0.95802         0.00046         NORM           
3      1.0000          0.93401         0.00043         NORM           
4      2.0000          0.94010         0.00049         NORM           
5      5.0000          0.93494         0.00035         NORM           
6      10.0000         0.92140         0.00035         NORM           
7      20.0000         0.89974         0.00037         NORM           
8      50.0000         0.83747         0.00052         NORM           
9      100.0000        0.74785         0.00037         NORM           
10     150.0000        0.67668         0.00037         NORM           
11     200.0000        0.62693         0.00006         HIGH           
12     250.0000        0.59865         0.00030         NORM           
13     300.0000        0.58089         0.00036         NORM           
14     350.0000        0.56938         0.00027         NORM           
15     400.0000        0.56028         0.00034         NORM           
16     400.0500        0.55945         0.00034         NORM           
17     400.1500        0.55796         0.00031         NORM           
18     400.3000        0.55667         0.00032         NORM           
19     400.5000        0.55860         0.00036         NORM           
20     401.0000        0.56147         0.00031         NORM           
21     402.0000        0.56580         0.00033         NORM           
22     405.0000        0.56769         0.00031         NORM           
23     415.0000        0.56791         0.00030         NORM           
24     430.0000        0.56779         0.00032         NORM           
25     450.0000        0.56752         0.00034         NORM           
