------ ANALISI K_EFF CONGELATO DEL 17/05/2026 ALLE ORE 15:24 ------
Settings base: 75 b, 100000 p | Settings high: 300 b, 1000000 p
===============================================================
Step   Tempo [gg]      K_EFF           STD_DEV         STATISTICA     
0      0.0000          1.00405         0.00037         NORM           
1      0.1000          0.98931         0.00043         NORM           
2      0.5000          0.95841         0.00043         NORM           
3      1.0000          0.93432         0.00040         NORM           
4      2.0000          0.93826         0.00045         NORM           
5      5.0000          0.93375         0.00041         NORM           
6      10.0000         0.92115         0.00034         NORM           
7      20.0000         0.89947         0.00037         NORM           
8      50.0000         0.83647         0.00034         NORM           
9      100.0000        0.74859         0.00035         NORM           
10     150.0000        0.67698         0.00034         NORM           
11     200.0000        0.62735         0.00038         NORM           
12     250.0000        0.59852         0.00035         NORM           
13     300.0000        0.58101         0.00028         NORM           
14     350.0000        0.56966         0.00039         NORM           
15     400.0000        0.56111         0.00005         HIGH           
16     400.0500        0.55970         0.00005         HIGH           
17     400.1500        0.55787         0.00005         HIGH           
18     400.3000        0.55712         0.00005         HIGH           
19     400.5000        0.55772         0.00005         HIGH           
20     401.0000        0.56173         0.00005         HIGH           
21     402.0000        0.56661         0.00005         HIGH           
22     405.0000        0.56789         0.00005         HIGH           
23     408.0000        0.56777         0.00004         HIGH           
24     411.0000        0.56780         0.00006         NORM           
25     414.0000        0.56785         0.00005         HIGH           
26     417.0000        0.56784         0.00005         HIGH           
27     420.0000        0.56776         0.00005         HIGH           
28     430.0000        0.56789         0.00004         HIGH           
29     445.0000        0.56785         0.00005         HIGH           
30     465.0000        0.56786         0.00005         HIGH           
