Energy_eV PDF Error_PDF
1.09784377e+02 9.91086544e-08 1.92500464e-08
1.32318821e+02 3.03601802e-07 1.13012989e-07
1.59478706e+02 2.53641325e-07 3.79534917e-08
1.92213454e+02 3.98292531e-07 4.15737413e-08
2.31667368e+02 4.36893646e-07 4.18292579e-08
2.79219629e+02 1.03058336e-06 2.03376425e-07
3.36532512e+02 8.22611875e-07 6.02446342e-08
4.05609490e+02 9.78408117e-07 4.95608673e-08
4.88865275e+02 1.67483552e-06 1.53067400e-07
5.89210219e+02 2.40583150e-06 1.33240872e-07
7.10152060e+02 3.18525876e-06 1.74597214e-07
8.55918537e+02 3.25575137e-06 1.86795214e-07
1.03160518e+03 4.33580360e-06 1.90107593e-07
1.24335342e+03 5.77205641e-06 2.26430381e-07
1.49856531e+03 8.23959376e-06 2.63111752e-07
1.80616223e+03 1.13447725e-05 3.24070481e-07
2.17689678e+03 1.39906633e-05 3.20712820e-07
2.62372866e+03 1.98509078e-05 5.01123897e-07
3.16227766e+03 2.54295816e-05 4.52856959e-07
3.81136974e+03 3.58797993e-05 6.08728490e-07
4.59369506e+03 4.80459329e-05 7.91278312e-07
5.53660121e+03 6.28721725e-05 6.72153920e-07
6.67304916e+03 8.49311364e-05 8.09082298e-07
8.04276548e+03 1.16186846e-04 1.00297213e-06
9.69363106e+03 1.58766665e-04 1.49781090e-06
1.16833549e+04 2.14818955e-04 1.26606887e-06
1.40814912e+04 2.92139354e-04 1.86028090e-06
1.69718713e+04 3.99455280e-04 1.95034830e-06
2.04555335e+04 5.45368293e-04 1.91185078e-06
2.46542555e+04 7.42618979e-04 2.33138840e-06
2.97148110e+04 1.01251636e-03 2.64795290e-06
3.58141010e+04 1.38569116e-03 4.07593071e-06
4.31653369e+04 1.89475135e-03 3.35078314e-06
5.20254944e+04 2.56781950e-03 5.35932882e-06
6.27042962e+04 3.50563149e-03 4.86965609e-06
7.55750387e+04 4.76742112e-03 5.89105373e-06
9.10876420e+04 6.50341358e-03 6.72850329e-06
1.09784377e+05 8.82344180e-03 8.39741903e-06
1.32318821e+05 1.19391052e-02 9.75995527e-06
1.59478706e+05 1.61772216e-02 1.06484558e-05
1.92213454e+05 2.16042966e-02 1.17872484e-05
2.31667368e+05 2.87257320e-02 1.49532620e-05
2.79219629e+05 3.76647472e-02 1.65949986e-05
3.36532512e+05 4.49693132e-02 2.18603063e-05
4.05609490e+05 3.60092594e-02 1.64319632e-05
4.88865275e+05 5.22452167e-02 1.84881800e-05
5.89210219e+05 6.86751395e-02 2.35040810e-05
7.10152060e+05 8.19362737e-02 2.31097420e-05
8.55918537e+05 8.14444527e-02 2.55373328e-05
1.03160518e+06 5.52930018e-02 2.22849832e-05
1.24335342e+06 6.47671845e-02 2.52304481e-05
1.49856531e+06 6.19828103e-02 3.24365933e-05
1.80616223e+06 5.48122486e-02 2.24046897e-05
2.17689678e+06 5.29811668e-02 2.66310051e-05
2.62372866e+06 5.02106772e-02 2.57253724e-05
3.16227766e+06 4.14589210e-02 2.45150023e-05
3.81136974e+06 3.30151958e-02 1.95784804e-05
4.59369506e+06 2.70152821e-02 1.60093960e-05
5.53660121e+06 1.94885535e-02 1.60150576e-05
6.67304916e+06 1.27206816e-02 1.30910533e-05
8.04276548e+06 6.84335361e-03 6.56941010e-06
9.69363106e+06 3.07493138e-03 4.99608570e-06
1.16833549e+07 1.09598340e-03 2.11970701e-06
1.40814912e+07 3.72412288e-04 1.44725149e-06
1.69718713e+07 1.69458241e-04 8.16670585e-07
2.04555335e+07 4.18021068e-05 3.72079208e-07
2.46542555e+07 0.00000000e+00 0.00000000e+00
2.97148110e+07 0.00000000e+00 0.00000000e+00
3.58141010e+07 0.00000000e+00 0.00000000e+00
4.31653369e+07 0.00000000e+00 0.00000000e+00
5.20254944e+07 0.00000000e+00 0.00000000e+00
6.27042962e+07 0.00000000e+00 0.00000000e+00
7.55750387e+07 0.00000000e+00 0.00000000e+00
9.10876420e+07 0.00000000e+00 0.00000000e+00
