Angle_rad Current Error_Current
2.63261954e-02 1.47699416e-06 7.89444834e-09
4.38769924e-02 2.14461909e-06 1.11873582e-08
6.14277893e-02 2.88424732e-06 1.30853792e-08
7.89785863e-02 3.66742010e-06 1.17401548e-08
9.65293832e-02 4.44908551e-06 1.64996934e-08
1.14080180e-01 5.22717689e-06 1.70488327e-08
1.31630977e-01 5.99861280e-06 1.92210053e-08
1.49181774e-01 6.79590862e-06 1.72851864e-08
1.66732571e-01 7.54756375e-06 1.98841841e-08
1.84283368e-01 8.30036232e-06 2.02501024e-08
2.01834165e-01 9.04322467e-06 1.82091620e-08
2.19384962e-01 9.80345660e-06 2.40916173e-08
2.36935759e-01 1.05594307e-05 3.36056441e-08
2.54486556e-01 1.13264544e-05 2.81414209e-08
2.72037353e-01 1.20955686e-05 2.96019932e-08
2.89588150e-01 1.28693036e-05 3.17884685e-08
3.07138947e-01 1.36074478e-05 2.93675030e-08
3.24689744e-01 1.44133189e-05 3.01465367e-08
3.42240540e-01 1.51946399e-05 3.15383295e-08
3.59791337e-01 1.59209723e-05 3.11834700e-08
3.77342134e-01 1.66412653e-05 2.70531710e-08
3.94892931e-01 1.74583773e-05 4.10675692e-08
4.12443728e-01 1.82540217e-05 3.56726723e-08
4.29994525e-01 1.89722328e-05 3.86381953e-08
4.47545322e-01 1.98440273e-05 3.37025545e-08
4.65096119e-01 2.06003254e-05 3.91724802e-08
4.82646916e-01 2.13356441e-05 3.82428757e-08
5.00197713e-01 2.21073301e-05 3.39808773e-08
5.17748510e-01 2.28822843e-05 3.13082701e-08
5.35299307e-01 2.36910112e-05 4.56209928e-08
5.52850104e-01 2.43865148e-05 3.39636591e-08
5.70400901e-01 2.51655080e-05 3.82169686e-08
5.87951698e-01 2.60742914e-05 3.70347468e-08
6.05502495e-01 2.68061629e-05 3.42924693e-08
6.23053292e-01 2.75695367e-05 3.06970726e-08
6.40604089e-01 2.83202531e-05 3.81117498e-08
6.58154886e-01 2.90583961e-05 3.83909388e-08
6.75705682e-01 2.98847408e-05 3.96108882e-08
6.93256479e-01 3.05889110e-05 3.73422510e-08
7.10807276e-01 3.13289029e-05 4.45129973e-08
7.28358073e-01 3.21043285e-05 4.12952552e-08
7.45908870e-01 3.28248252e-05 4.23339889e-08
7.63459667e-01 3.36332064e-05 4.86154192e-08
7.81010464e-01 3.42304571e-05 4.99148700e-08
7.98561261e-01 3.50175545e-05 5.75235670e-08
8.16112058e-01 3.57858965e-05 3.97554596e-08
8.33662855e-01 3.64977215e-05 4.02877210e-08
8.51213652e-01 3.70145189e-05 3.52564500e-08
8.68764449e-01 3.77012564e-05 4.61668505e-08
8.86315246e-01 3.83627176e-05 4.86679136e-08
9.03866043e-01 3.91125341e-05 3.78259047e-08
9.21416840e-01 3.96778110e-05 5.72859299e-08
9.38967637e-01 4.03077596e-05 4.07580309e-08
9.56518434e-01 4.10579766e-05 4.86003857e-08
9.74069231e-01 4.15904867e-05 5.30097713e-08
9.91620028e-01 4.21529922e-05 6.22320865e-08
1.00917082e+00 4.27608032e-05 5.71896436e-08
1.02672162e+00 4.32882383e-05 5.95551801e-08
1.04427242e+00 4.38025068e-05 5.94621343e-08
1.06182322e+00 4.43024246e-05 5.75398286e-08
1.07937401e+00 4.48793015e-05 4.15946180e-08
1.09692481e+00 4.53118911e-05 5.25180637e-08
1.11447561e+00 4.58088093e-05 4.43315384e-08
1.13202640e+00 4.63343943e-05 4.23009822e-08
1.14957720e+00 4.66945771e-05 4.42698620e-08
1.16712800e+00 4.70893523e-05 4.34657213e-08
1.18467879e+00 4.75953052e-05 6.05547744e-08
1.20222959e+00 4.79276365e-05 6.25527410e-08
1.21978039e+00 4.83242615e-05 5.37735838e-08
1.23733118e+00 4.86543803e-05 4.78982478e-08
1.25488198e+00 4.89616580e-05 5.34387036e-08
1.27243278e+00 4.93366971e-05 5.38315487e-08
1.28998358e+00 4.95971962e-05 5.37551876e-08
1.30753437e+00 4.98432929e-05 5.15639627e-08
1.32508517e+00 5.01153882e-05 5.31481189e-08
1.34263597e+00 5.02350634e-05 5.76508610e-08
1.36018676e+00 5.05090685e-05 6.59751918e-08
1.37773756e+00 5.07082790e-05 5.05334267e-08
1.39528836e+00 5.09252807e-05 5.84881904e-08
1.41283915e+00 5.10891619e-05 6.55740627e-08
1.43038995e+00 5.11206064e-05 6.21914096e-08
1.44794075e+00 5.12189108e-05 6.94265660e-08
1.46549155e+00 5.12332410e-05 6.14801785e-08
1.48304234e+00 5.14588923e-05 4.02826446e-08
1.50059314e+00 5.14122076e-05 5.01570591e-08
1.51814394e+00 5.14615047e-05 5.58994934e-08
1.53569473e+00 5.15559589e-05 5.04635454e-08
1.55324553e+00 5.15012934e-05 6.25313495e-08
1.57079633e+00 5.14784547e-05 5.00098040e-08
1.58834712e+00 5.14470412e-05 5.81755711e-08
1.60589792e+00 5.14942783e-05 6.29845432e-08
1.62344872e+00 5.15633550e-05 4.84877557e-08
1.64099951e+00 5.15975019e-05 7.11871186e-08
1.65855031e+00 5.15804446e-05 5.07864638e-08
1.67610111e+00 5.14665621e-05 5.92327194e-08
1.69365191e+00 5.13230299e-05 4.89012244e-08
1.71120270e+00 5.13105406e-05 5.17073894e-08
1.72875350e+00 5.11376322e-05 4.68631211e-08
1.74630430e+00 5.10514272e-05 4.85509879e-08
1.76385509e+00 5.07484951e-05 6.09685548e-08
1.78140589e+00 5.06594502e-05 4.75139828e-08
1.79895669e+00 5.04658567e-05 4.38160132e-08
1.81650748e+00 5.01646873e-05 6.77187201e-08
1.83405828e+00 4.99760556e-05 5.82320735e-08
1.85160908e+00 4.97489827e-05 5.06128254e-08
1.86915987e+00 4.94285210e-05 5.39314773e-08
1.88671067e+00 4.91707310e-05 4.51246676e-08
1.90426147e+00 4.88296496e-05 6.16911288e-08
1.92181227e+00 4.85044297e-05 5.09681094e-08
1.93936306e+00 4.81084410e-05 5.37569186e-08
1.95691386e+00 4.76947755e-05 5.20444042e-08
1.97446466e+00 4.72520995e-05 4.87221533e-08
1.99201545e+00 4.69114908e-05 5.52469129e-08
2.00956625e+00 4.64044391e-05 4.47146956e-08
2.02711705e+00 4.58637342e-05 5.38023684e-08
2.04466784e+00 4.55764262e-05 5.22442723e-08
2.06221864e+00 4.49102958e-05 5.10160700e-08
2.07976944e+00 4.43246308e-05 5.10825994e-08
2.09732024e+00 4.39475872e-05 4.33435778e-08
2.11487103e+00 4.33178043e-05 5.77102633e-08
2.13242183e+00 4.27234697e-05 5.31646430e-08
2.14997263e+00 4.22438322e-05 6.39005808e-08
2.16752342e+00 4.16836287e-05 4.85603018e-08
2.18507422e+00 4.09711929e-05 4.98027385e-08
2.20262502e+00 4.03212377e-05 4.76522211e-08
2.22017581e+00 3.97203278e-05 4.58605832e-08
2.23772661e+00 3.90949408e-05 4.35689285e-08
2.25527741e+00 3.84450396e-05 5.03305303e-08
2.27282820e+00 3.77051834e-05 4.71087291e-08
2.29037900e+00 3.71577078e-05 5.26482401e-08
2.30792980e+00 3.64727753e-05 4.82931476e-08
2.32548060e+00 3.55800583e-05 4.86102093e-08
2.34303139e+00 3.49209885e-05 3.94463838e-08
