Pitch	k_ideale	k_shut	err_shut	k_max	err_max	delta_rho_pcm	err_delta_rho_pcm
1_000	0.97550	0.95921	0.00036	0.96366	0.00041	465.51	58.99
1_250	0.98001	0.98086	0.00039	0.98089	0.00052	3.12	67.56
1_500	0.98296	0.98294	0.00039	0.98294	0.00039	0.00	57.09
2_000	0.98491	0.95803	0.00034	0.96601	0.00044	816.03	59.96
2_250	0.98652	0.98687	0.00035	0.98687	0.00035	0.00	50.82
2_500	0.98682	0.98669	0.00035	0.98669	0.00035	0.00	50.84
2_750	0.98731	0.98600	0.00041	0.98705	0.00063	107.60	77.20
3_000	0.98703	0.98725	0.00042	0.98725	0.00042	0.00	60.94
3_250	0.98750	0.98666	0.00035	0.98803	0.00044	140.30	57.66
3_500	0.98736	0.98693	0.00040	0.98745	0.00046	53.31	62.55
4_000	0.98914	0.98857	0.00047	0.98869	0.00051	12.26	70.96
