Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98733         0.00046         NORM           
1      0.1000          0.96815         0.00049         NORM           
2      0.5000          0.92683         0.00052         NORM           
3      1.0000          0.90109         0.00044         NORM           
4      2.0000          0.89882         0.00052         NORM           
5      5.0000          0.87259         0.00045         NORM           
6      10.0000         0.83159         0.00046         NORM           
7      20.0000         0.76758         0.00045         NORM           
8      50.0000         0.62185         0.00051         NORM           
9      250.0000        0.36730         0.00027         NORM           
10     350.0000        0.34601         0.00026         NORM           
11     400.0000        0.33877         0.00025         HIGH           
12     400.0500        0.33694         0.00023         HIGH           
13     400.1500        0.33569         0.00018         HIGH           
14     400.3000        0.33432         0.00022         HIGH           
15     400.5000        0.33474         0.00021         HIGH           
16     401.0000        0.33691         0.00021         HIGH           
17     402.0000        0.33968         0.00022         HIGH           
18     405.0000        0.34121         0.00025         HIGH           
19     408.0000        0.34164         0.00024         HIGH           
