Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98089         0.00052         NORM           
1      0.5000          0.98089         0.00052         NORM           
2      1.0000          0.98089         0.00052         NORM           
3      5.0000          0.98089         0.00052         NORM           
4      10.0000         0.98089         0.00052         NORM           
5      20.0000         0.98089         0.00052         NORM           
6      50.0000         0.98089         0.00052         NORM           
7      350.0000        0.98089         0.00052         NORM           
8      400.0000        0.98086         0.00039         HIGH           
9      400.0500        0.98086         0.00039         HIGH           
10     400.1500        0.98086         0.00039         HIGH           
11     400.3000        0.98086         0.00039         HIGH           
12     400.5000        0.98086         0.00039         HIGH           
13     401.0000        0.98086         0.00039         HIGH           
14     402.0000        0.98086         0.00039         HIGH           
15     405.0000        0.98086         0.00039         HIGH           
16     408.0000        0.98086         0.00039         HIGH           
17     433.0000        0.98089         0.00052         NORM           
18     453.0000        0.98089         0.00052         NORM           
