Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          1.02590         0.00943         NORM           
1      0.1000          1.03273         0.00823         NORM           
2      0.5000          1.02840         0.00958         NORM           
3      1.0000          1.02267         0.01028         NORM           
4      2.0000          1.02813         0.00970         NORM           
5      5.0000          1.02191         0.00912         NORM           
6      10.0000         1.01995         0.01067         NORM           
7      20.0000         1.02315         0.00919         NORM           
8      50.0000         1.02012         0.00938         NORM           
9      100.0000        1.02786         0.00951         NORM           
10     150.0000        1.02298         0.00942         NORM           
11     200.0000        1.01631         0.00965         NORM           
12     250.0000        1.01433         0.00901         NORM           
13     300.0000        1.01719         0.00961         NORM           
14     350.0000        1.01480         0.00939         NORM           
15     400.0000        1.01062         0.00767         HIGH           
16     400.0500        1.01050         0.00797         HIGH           
17     400.1500        1.01117         0.00801         HIGH           
18     400.3000        1.00539         0.00777         HIGH           
19     400.5000        1.00614         0.00810         HIGH           
20     401.0000        1.01088         0.00838         HIGH           
21     402.0000        1.01536         0.00782         HIGH           
22     405.0000        1.01789         0.00823         HIGH           
23     408.0000        1.01934         0.00823         HIGH           
24     411.0000        1.02211         0.00953         NORM           
25     414.0000        1.01999         0.01004         NORM           
26     417.0000        1.02605         0.00950         NORM           
27     427.0000        1.02325         0.00921         NORM           
28     442.0000        1.01712         0.00991         NORM           
29     462.0000        1.01543         0.00920         NORM           
