Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98740         0.00054         NORM           
1      0.5000          0.98112         0.00055         NORM           
2      1.0000          0.97679         0.00048         NORM           
3      5.0000          0.97724         0.00046         NORM           
4      10.0000         0.97713         0.00042         NORM           
5      20.0000         0.97540         0.00046         NORM           
6      50.0000         0.97215         0.00046         NORM           
7      100.0000        0.96986         0.00050         NORM           
8      200.0000        0.96828         0.00038         NORM           
9      250.0000        0.96707         0.00043         NORM           
10     350.0000        0.96480         0.00040         NORM           
11     399.5000        0.96399         0.00014         HIGH           
12     400.0000        0.96398         0.00016         HIGH           
13     400.0500        0.96381         0.00014         HIGH           
