Step  Tempo[gg]  K_EFF  STD_DEV  STATISTICA
0      0.0000          0.98782         0.00051         NORM           
1      0.5000          0.98678         0.00052         NORM           
2      1.0000          0.98433         0.00043         NORM           
3      5.0000          0.98375         0.00056         NORM           
4      10.0000         0.98308         0.00043         NORM           
5      20.0000         0.98204         0.00048         NORM           
6      50.0000         0.98124         0.00042         NORM           
7      100.0000        0.98022         0.00042         NORM           
8      200.0000        0.97750         0.00049         NORM           
9      250.0000        0.97727         0.00048         NORM           
10     350.0000        0.97653         0.00045         NORM           
11     399.5000        0.97610         0.00015         HIGH           
12     400.0000        0.97570         0.00017         HIGH           
13     400.0500        0.97590         0.00018         HIGH           
14     400.1500        0.97634         0.00016         HIGH           
15     400.3000        0.97637         0.00016         HIGH           
16     400.5000        0.97670         0.00017         HIGH           
17     401.0000        0.97812         0.00017         HIGH           
18     402.0000        0.97897         0.00017         HIGH           
19     405.0000        0.97889         0.00018         HIGH           
20     408.0000        0.97924         0.00016         HIGH           
21     411.0000        0.97906         0.00039         NORM           
22     414.0000        0.97786         0.00040         NORM           
23     429.0000        0.97839         0.00050         NORM           
24     449.0000        0.97932         0.00048         NORM           
