Pitch	rho_Temp	err_Temp	rho_Pow	err_Pow	rho_Tot	err_Tot	k_eff_Final	err_k_eff
0.100	354.2	500.9	354.1	500.7	508.3	708.3	1.00511	0.00716
0.110	-344.0	486.5	-688.4	486.8	-1232.4	688.2	0.98783	0.00672
0.125	-1113.0	393.5	-1393.3	394.1	-2706.3	556.9	0.97365	0.00528
0.150	-1054.8	229.5	-1953.9	230.3	-3208.7	325.1	0.96891	0.00305
0.175	-1071.5	121.2	-1894.5	121.8	-3166.0	171.8	0.96931	0.00161
0.200	-957.2	93.3	-1899.2	93.7	-3056.4	132.2	0.97034	0.00125
0.225	-812.6	75.0	-1938.2	75.4	-2950.8	106.3	0.97134	0.00100
0.250	-865.6	60.2	-2030.5	60.7	-3096.1	85.5	0.96997	0.00080
0.300	-2160.6	64.0	-3113.8	65.0	-5474.4	91.2	0.94810	0.00082
0.375	-3604.7	53.3	-3528.0	55.0	-7332.8	76.6	0.93168	0.00067
0.500	-3533.9	38.6	-2347.4	40.2	-6081.3	55.8	0.94267	0.00050
0.625	-2984.7	27.6	-1505.8	26.9	-4690.5	38.6	0.95520	0.00035
0.750	-2398.5	19.1	-965.0	21.9	-3563.5	29.1	0.96559	0.00027
1.000	-1897.3	14.3	-417.1	15.3	-2514.4	20.9	0.97547	0.00020
1.250	-1609.2	12.3	-216.1	12.5	-2025.3	17.5	0.98015	0.00017
1.500	-1419.1	12.0	-114.9	13.3	-1734.0	18.0	0.98296	0.00017
1.750	-1317.3	11.8	-34.7	12.0	-1552.0	16.8	0.98472	0.00016
2.000	-1311.1	11.5	0.0	    12.4	-1511.1	16.9	0.98511	0.00016
2.250	-1259.6	13.2	65.7	13.4	-1393.8	18.8	0.98625	0.00018
2.500	-1263.0	13.1	91.3	12.4	-1371.6	18.1	0.98647	0.00018
2.750	-1248.6	15.5	128.0	15.7	-1320.6	22.0	0.98697	0.00021
3.000	-1234.6	17.5	125.1	18.7	-1309.6	25.6	0.98707	0.00025
3.250	-1226.0	19.9	178.4	22.4	-1247.6	30.0	0.98768	0.00029
3.500	-1233.0	22.7	203.5	24.2	-1229.5	33.2	0.98785	0.00032
3.750	-1220.0	24.6	226.4	23.3	-1193.6	33.9	0.98820	0.00033
4.000	-1133.1	29.8	263.7	30.0	-1069.4	42.3	0.98942	0.00041
4.250	-1163.5	30.3	266.9	30.5	-1096.7	43.0	0.98915	0.00042
4.500	-1175.7	34.7	416.2	34.9	-959.5	49.2	0.99050	0.00048
4.750	-1151.5	39.7	458.1	42.4	-893.4	58.1	0.99114	0.00057
5.000	-1109.8	51.0	438.2	51.2	-871.6	72.2	0.99136	0.00071
5.500	-1068.8	55.2	644.6	58.8	-624.2	80.7	0.99380	0.00080
6.000	-931.2	70.7	645.9	70.8	-485.3	100.0	0.99517	0.00099
6.500	-760.4	101.7	836.2	95.6	-124.2	139.6	0.99876	0.00139
7.000	-742.2	105.0	921.9	104.9	-20.3	148.4	0.99980	0.00148
7.500	-605.7	130.3	842.1	121.4	36.4	178.1	1.00036	0.00178
8.000	-582.8	149.2	1180.1	149.0	397.3	210.9	1.00399	0.00213
