Pitch	k_ideale	k_shut	err_shut	k_max	err_max	delta_rho_pcm	err_delta_rho_pcm
1_000	0.97550	0.95955	0.00017	0.96360	0.00016	423.84	25.26
1_250	0.98001	0.95908	0.00016	0.96586	0.00016	701.09	24.43
1_500	0.98296	0.95874	0.00014	0.96581	0.00014	726.50	21.38
1_750	0.98550	0.95931	0.00016	0.96656	0.00015	741.04	23.67
2_000	0.98491	0.95929	0.00016	0.96636	0.00015	723.64	23.67
2_250	0.98652	0.96025	0.00015	0.96716	0.00015	705.07	22.84
2_500	0.98682	0.96124	0.00017	0.96789	0.00016	678.31	25.10
2_750	0.98731	0.96255	0.00015	0.96921	0.00015	678.65	22.74
3_000	0.98703	0.96398	0.00016	0.97040	0.00015	654.72	23.46
3_250	0.98750	0.96574	0.00016	0.97199	0.00016	636.89	24.11
3_500	0.98736	0.96806	0.00018	0.97334	0.00016	558.72	25.58
3_750	0.98834	0.97046	0.00016	0.97576	0.00017	539.69	24.65
4_000	0.98914	0.97322	0.00016	0.97760	0.00017	445.70	24.53
4_250	0.98889	0.97570	0.00017	0.97924	0.00016	360.71	24.44
